pitch start end duration velocity
D#3 0.0000 0.1020 0.1020 50
D#4 0.0000 0.1020 0.1020 50
D#3 0.1020 0.2041 0.1020 50
D#4 0.1020 0.2041 0.1020 50
F4 0.2041 0.3061 0.1020 50
A#3 0.2041 0.3061 0.1020 50
A#3 0.3061 0.4082 0.1020 50
F4 0.3061 0.4082 0.1020 50
F#4 0.4082 0.5102 0.1020 50
D#3 0.4082 0.5102 0.1020 50
D#3 0.5102 0.6122 0.1020 50
F#4 0.5102 0.6122 0.1020 50
A#3 0.6122 0.7143 0.1020 50
G#4 0.6122 0.7143 0.1020 50
G#4 0.7143 0.8163 0.1020 50
A#3 0.7143 0.8163 0.1020 50
A#4 0.8163 0.9184 0.1020 50
D#3 0.8163 0.9184 0.1020 50
D#3 0.9184 1.0204 0.1020 50
A#3 1.0204 1.1224 0.1020 50
A#3 1.1224 1.2245 0.1020 50
A#4 1.1224 1.2245 0.1020 50
D#3 1.2245 1.3265 0.1020 50
D#5 1.2245 1.3265 0.1020 50
D#5 1.3265 1.4286 0.1020 50
D#3 1.3265 1.4286 0.1020 50
C#5 1.4286 1.5306 0.1020 50
A#3 1.4286 1.5306 0.1020 50
C#5 1.5306 1.6327 0.1020 50
A#3 1.5306 1.6327 0.1020 50
D#3 1.6327 1.7347 0.1020 50
A#4 1.6327 1.7347 0.1020 50
D#3 1.7347 1.8367 0.1020 50
A#3 1.8367 1.9388 0.1020 50
A#3 1.9388 2.0408 0.1020 50
A#4 1.9388 2.0408 0.1020 50
D#3 2.0408 2.1429 0.1020 50
D#4 2.0408 2.1429 0.1020 50
D#3 2.1429 2.2449 0.1020 50
A#3 2.2449 2.3469 0.1020 50
A#3 2.3469 2.4490 0.1020 50
D#4 2.3469 2.4490 0.1020 50
D#3 2.4490 2.5510 0.1020 50
A#4 2.4490 2.5510 0.1020 50
D#3 2.5510 2.6531 0.1020 50
A#4 2.5510 2.6531 0.1020 50
G#4 2.6531 2.7551 0.1020 50
A#3 2.6531 2.7551 0.1020 50
G#4 2.7551 2.8571 0.1020 50
A#3 2.7551 2.8571 0.1020 50
D#3 2.8571 2.9592 0.1020 50
F#4 2.8571 2.9592 0.1020 50
D#3 2.9592 3.0612 0.1020 50
F#4 2.9592 3.0612 0.1020 50
F4 3.0612 3.1633 0.1020 50
A#3 3.0612 3.1633 0.1020 50
F4 3.1633 3.2653 0.1020 50
A#3 3.1633 3.2653 0.1020 50
B2 3.2653 3.3673 0.1020 50
D#4 3.2653 3.3673 0.1020 50
B2 3.3673 3.4694 0.1020 50
D#4 3.3673 3.4694 0.1020 50
F4 3.4694 3.5714 0.1020 50
F#3 3.4694 3.5714 0.1020 50
F4 3.5714 3.6735 0.1020 50
F#3 3.5714 3.6735 0.1020 50
F#4 3.6735 3.7755 0.1020 50
B2 3.6735 3.7755 0.1020 50
B2 3.7755 3.8775 0.1020 50
F#4 3.7755 3.8775 0.1020 50
F#3 3.8775 3.9796 0.1020 50
G#4 3.8775 3.9796 0.1020 50
F#3 3.9796 4.0816 0.1020 50
G#4 3.9796 4.0816 0.1020 50
B2 4.0816 4.1837 0.1020 50
A#4 4.0816 4.1837 0.1020 50
B2 4.1837 4.2857 0.1020 50
F#3 4.2857 4.3878 0.1020 50
F#3 4.3878 4.4898 0.1020 50
A#4 4.3878 4.4898 0.1020 50
