pitch start end duration velocity
D2 0.0000 1.2146 1.2146 127
D3 0.0000 1.2146 1.2146 116
F#4 0.3026 0.6024 0.2997 99
A4 0.6087 0.9085 0.2997 117
D5 0.9149 1.2146 0.2997 127
A2 1.2210 2.4391 1.2181 116
A3 1.2210 2.4391 1.2181 99
E4 1.5271 1.8268 0.2997 109
A4 1.8332 2.1330 0.2997 127
C#5 2.1393 2.4391 0.2997 127
B2 2.4455 3.6636 1.2181 101
B3 2.4455 3.6636 1.2181 112
D4 2.7516 3.0513 0.2997 122
F#4 3.0577 3.3575 0.2997 123
B4 3.3638 3.6636 0.2997 125
F#2 3.6700 4.8881 1.2181 94
F#3 3.6700 4.8881 1.2181 98
C#4 3.9761 4.2758 0.2997 109
F#4 4.2822 4.5819 0.2997 102
A4 4.5883 4.8881 0.2997 127
G2 4.8944 6.1126 1.2181 81
G3 4.8944 6.1126 1.2181 104
D4 5.2006 5.5003 0.2997 97
G4 5.5067 5.8064 0.2997 127
B4 5.8128 6.1126 0.2997 127
D3 6.1189 7.3370 1.2181 81
D2 6.1189 7.3370 1.2181 80
D4 6.4251 6.7248 0.2997 95
F#4 6.7312 7.0309 0.2997 121
A4 7.0373 7.3370 0.2997 119
G2 7.3434 8.5615 1.2181 89
G3 7.3434 8.5615 1.2181 127
D4 7.6495 7.9493 0.2997 91
G4 7.9557 8.2554 0.2997 124
B4 8.2618 8.5615 0.2997 110
A2 8.5679 9.4799 0.9120 75
A3 8.5679 9.7860 1.2181 111
E4 8.8740 9.1738 0.2997 111
A4 9.1802 9.4799 0.2997 127
C#5 9.4863 9.7860 0.2997 118
F#5 9.7924 11.0105 1.2181 127
D3 9.7924 11.0105 1.2181 110
A3 10.0985 11.0105 0.9120 75
D4 10.4046 11.0105 0.6059 94
F#4 10.7108 11.0105 0.2997 89
E5 11.0169 12.2350 1.2181 127
A2 11.0169 11.9289 0.9120 87
E3 11.3230 11.9289 0.6059 89
C#4 11.6291 11.9289 0.2997 105
E4 11.9353 12.2350 0.2997 93
D5 12.2414 13.4595 1.2181 127
B2 12.2414 13.1534 0.9120 122
F#3 12.5475 13.1534 0.6059 82
B3 12.8536 13.4595 0.6059 96
D4 13.1597 13.4595 0.2997 99
C#5 13.4659 14.6840 1.2181 127
F#2 13.4659 14.6840 1.2181 109
C#3 13.7720 14.6840 0.9120 85
A3 14.0781 14.6840 0.6059 97
C#4 14.3842 14.6840 0.2997 115
B4 14.6903 15.9085 1.2181 127
G2 14.6903 15.6023 0.9120 117
D3 14.9965 15.6023 0.6059 106
G3 15.3026 15.9085 0.6059 114
B3 15.6087 15.9085 0.2997 125
