pitch start end duration velocity
A#2 0.0000 0.5000 0.5000 50
G3 0.0000 0.5000 0.5000 50
A#3 0.0000 0.5000 0.5000 50
G2 0.0000 0.5000 0.5000 50
A#3 0.5000 1.0000 0.5000 50
A#2 0.5000 1.0000 0.5000 50
G2 0.5000 1.0000 0.5000 50
G3 0.5000 1.0000 0.5000 50
A#2 1.0000 1.3750 0.3750 50
G3 1.0000 1.3750 0.3750 50
A#3 1.0000 1.3750 0.3750 50
G2 1.0000 1.3750 0.3750 50
D3 1.3750 1.7500 0.3750 50
A#2 1.3750 1.7500 0.3750 50
D4 1.3750 1.7500 0.3750 50
A#3 1.3750 1.7500 0.3750 50
D4 1.7500 2.0000 0.2500 50
A#2 1.7500 2.0000 0.2500 50
D3 1.7500 2.0000 0.2500 50
A#3 1.7500 2.0000 0.2500 50
A3 2.0000 2.5000 0.5000 50
F2 2.0000 2.5000 0.5000 50
F3 2.0000 2.5000 0.5000 50
A2 2.0000 2.5000 0.5000 50
A2 2.5000 3.0000 0.5000 50
F3 2.5000 3.0000 0.5000 50
A3 2.5000 3.0000 0.5000 50
F2 2.5000 3.0000 0.5000 50
F3 3.0000 3.3750 0.3750 50
A3 3.0000 3.3750 0.3750 50
F2 3.0000 3.3750 0.3750 50
A2 3.0000 3.3750 0.3750 50
A#2 3.3750 3.7500 0.3750 50
D3 3.3750 3.7500 0.3750 50
D4 3.3750 3.7500 0.3750 50
A#3 3.3750 3.7500 0.3750 50
D3 3.7500 4.0000 0.2500 50
D4 3.7500 4.0000 0.2500 50
A#2 3.7500 4.0000 0.2500 50
A#3 3.7500 4.0000 0.2500 50
G3 4.0000 4.5000 0.5000 50
D#2 4.0000 4.5000 0.5000 50
G2 4.0000 4.5000 0.5000 50
D#3 4.0000 4.5000 0.5000 50
D#2 4.5000 5.0000 0.5000 50
G3 4.5000 5.0000 0.5000 50
G2 4.5000 5.0000 0.5000 50
D#3 4.5000 5.0000 0.5000 50
D#3 5.0000 5.3750 0.3750 50
G3 5.0000 5.3750 0.3750 50
G2 5.0000 5.3750 0.3750 50
D#2 5.0000 5.3750 0.3750 50
D3 5.3750 5.7500 0.3750 50
D4 5.3750 5.7500 0.3750 50
A#3 5.3750 5.7500 0.3750 50
A#2 5.3750 5.7500 0.3750 50
D4 5.7500 6.0000 0.2500 50
D3 5.7500 6.0000 0.2500 50
A#3 5.7500 6.0000 0.2500 50
A#2 5.7500 6.0000 0.2500 50
G3 6.0000 6.5000 0.5000 50
D#2 6.0000 6.5000 0.5000 50
D#3 6.0000 6.5000 0.5000 50
G2 6.0000 6.5000 0.5000 50
G3 6.5000 7.0000 0.5000 50
G2 6.5000 7.0000 0.5000 50
D#2 6.5000 7.0000 0.5000 50
D#3 6.5000 7.0000 0.5000 50
G2 7.0000 7.3750 0.3750 50
G3 7.0000 7.3750 0.3750 50
D#3 7.0000 7.3750 0.3750 50
D#2 7.0000 7.3750 0.3750 50
D3 7.3750 7.7500 0.3750 50
A#2 7.3750 7.7500 0.3750 50
A#3 7.3750 7.7500 0.3750 50
D4 7.3750 7.7500 0.3750 50
D4 7.7500 8.0000 0.2500 50
A#3 7.7500 8.0000 0.2500 50
D3 7.7500 8.0000 0.2500 50
A#2 7.7500 8.0000 0.2500 50
G3 8.0000 8.5000 0.5000 50
G3 8.0000 8.5000 0.5000 50
G3 8.0000 8.5000 0.5000 50
A#3 8.0000 8.5000 0.5000 50
A#2 8.0000 8.5000 0.5000 50
G2 8.0000 8.5000 0.5000 50
D4 8.2500 8.5000 0.2500 50
D4 8.2500 8.5000 0.2500 50
D4 8.5000 8.7500 0.2500 50
D4 8.5000 8.7500 0.2500 50
G2 8.5000 9.0000 0.5000 50
A#2 8.5000 9.0000 0.5000 50
G3 8.5000 9.0000 0.5000 50
A#3 8.5000 9.0000 0.5000 50
D4 8.7500 9.0000 0.2500 50
D4 8.7500 9.0000 0.2500 50
D4 9.0000 9.2500 0.2500 50
D4 9.0000 9.2500 0.2500 50
G3 9.0000 9.3750 0.3750 50
A#3 9.0000 9.3750 0.3750 50
A#2 9.0000 9.3750 0.3750 50
G2 9.0000 9.3750 0.3750 50
C4 9.2500 9.5000 0.2500 50
C4 9.2500 9.5000 0.2500 50
D3 9.3750 9.7500 0.3750 50
D4 9.3750 9.7500 0.3750 50
A#3 9.3750 9.7500 0.3750 50
A#2 9.3750 9.7500 0.3750 50
C4 9.5000 10.0000 0.5000 50
C4 9.5000 10.0000 0.5000 50
G3 9.5000 10.0000 0.5000 50
G3 9.5000 10.0000 0.5000 50
D3 9.7500 10.0000 0.2500 50
A#2 9.7500 10.0000 0.2500 50
D4 9.7500 10.0000 0.2500 50
A#3 9.7500 10.0000 0.2500 50
C4 10.0000 10.2500 0.2500 50
C4 10.0000 10.2500 0.2500 50
A3 10.0000 10.5000 0.5000 50
F2 10.0000 10.5000 0.5000 50
A2 10.0000 10.5000 0.5000 50
F3 10.0000 10.5000 0.5000 50
F3 10.0000 10.5000 0.5000 50
F3 10.0000 10.5000 0.5000 50
C4 10.2500 10.5000 0.2500 50
C4 10.2500 10.5000 0.2500 50
C4 10.5000 10.7500 0.2500 50
C4 10.5000 10.7500 0.2500 50
A2 10.5000 11.0000 0.5000 50
F3 10.5000 11.0000 0.5000 50
A3 10.5000 11.0000 0.5000 50
F2 10.5000 11.0000 0.5000 50
C4 10.7500 11.0000 0.2500 50
C4 10.7500 11.0000 0.2500 50
C4 11.0000 11.2500 0.2500 50
C4 11.0000 11.2500 0.2500 50
A2 11.0000 11.3750 0.3750 50
F2 11.0000 11.3750 0.3750 50
A3 11.0000 11.3750 0.3750 50
F3 11.0000 11.3750 0.3750 50
D4 11.2500 11.5000 0.2500 50
D4 11.2500 11.5000 0.2500 50
D4 11.3750 11.5000 0.1250 50
D3 11.3750 11.7500 0.3750 50
A#3 11.3750 11.7500 0.3750 50
A#2 11.3750 11.7500 0.3750 50
G3 11.5000 11.7500 0.2500 50
G3 11.5000 11.7500 0.2500 50
A#3 11.5000 11.7500 0.2500 50
A#3 11.5000 11.7500 0.2500 50
A#3 11.7500 12.0000 0.2500 50
A#2 11.7500 12.0000 0.2500 50
D3 11.7500 12.0000 0.2500 50
D4 11.7500 12.0000 0.2500 50
F3 11.7500 12.0000 0.2500 50
F3 11.7500 12.0000 0.2500 50
D#2 12.0000 12.5000 0.5000 50
G3 12.0000 12.5000 0.5000 50
G3 12.0000 12.5000 0.5000 50
G3 12.0000 12.5000 0.5000 50
D#3 12.0000 12.5000 0.5000 50
D#3 12.0000 12.5000 0.5000 50
D#3 12.0000 12.5000 0.5000 50
G2 12.0000 12.5000 0.5000 50
D#3 12.5000 13.0000 0.5000 50
G3 12.5000 13.0000 0.5000 50
G2 12.5000 13.0000 0.5000 50
A#3 12.5000 13.0000 0.5000 50
A#3 12.5000 13.0000 0.5000 50
D#2 12.5000 13.0000 0.5000 50
G2 13.0000 13.3750 0.3750 50
D#2 13.0000 13.3750 0.3750 50
