pitch start end duration velocity
D#5 0.0000 0.3375 0.3375 80
E3 0.0000 0.3375 0.3375 80
C#5 0.3750 0.7125 0.3375 80
B3 0.3750 0.7125 0.3375 80
G#5 0.7500 1.0875 0.3375 80
E4 0.7500 1.0875 0.3375 80
C#5 1.1250 1.4625 0.3375 80
F#4 1.1250 1.4625 0.3375 80
D#5 1.5000 1.8375 0.3375 80
G#4 1.5000 2.8500 1.3500 80
C#5 1.8750 2.2125 0.3375 80
G#4 2.2500 2.5875 0.3375 80
C#5 2.6250 2.9625 0.3375 80
D#5 3.0000 3.3375 0.3375 80
F#3 3.0000 3.3375 0.3375 80
C#5 3.3750 3.7125 0.3375 80
C#4 3.3750 3.7125 0.3375 80
G#5 3.7500 4.0875 0.3375 80
F#4 3.7500 4.0875 0.3375 80
C#5 4.1250 4.4625 0.3375 80
G#4 4.1250 4.4625 0.3375 80
D#5 4.5000 4.8375 0.3375 80
A#4 4.5000 5.8500 1.3500 80
C#5 4.8750 5.2125 0.3375 80
G#4 5.2500 5.5875 0.3375 80
C#5 5.6250 5.9625 0.3375 80
D#5 6.0000 6.3375 0.3375 80
G#3 6.0000 6.3375 0.3375 80
C#5 6.3750 6.7125 0.3375 80
D#4 6.3750 6.7125 0.3375 80
G#5 6.7500 7.0875 0.3375 80
G#4 6.7500 7.0875 0.3375 80
C#5 7.1250 7.4625 0.3375 80
A#4 7.1250 7.4625 0.3375 80
D#5 7.5000 7.8375 0.3375 80
B4 7.5000 8.8500 1.3500 80
C#5 7.8750 8.2125 0.3375 80
G#4 8.2500 8.5875 0.3375 80
C#5 8.6250 8.9625 0.3375 80
D#5 9.0000 9.3375 0.3375 80
C#5 9.3750 9.7125 0.3375 80
G#5 9.7500 10.0875 0.3375 80
C#5 10.1250 10.4625 0.3375 80
D#5 10.5000 10.8375 0.3375 80
C#5 10.8750 11.2125 0.3375 80
G#4 11.2500 11.5875 0.3375 80
C#5 11.6250 11.9625 0.3375 80
D#5 12.0000 12.3375 0.3375 80
E3 12.0000 12.3375 0.3375 80
C#5 12.3750 12.7125 0.3375 80
B3 12.3750 12.7125 0.3375 80
G#5 12.7500 13.0875 0.3375 80
E4 12.7500 13.0875 0.3375 80
C#5 13.1250 13.4625 0.3375 80
F#4 13.1250 13.4625 0.3375 80
D#5 13.5000 13.8375 0.3375 80
G#4 13.5000 14.8500 1.3500 80
C#5 13.8750 14.2125 0.3375 80
G#4 14.2500 14.5875 0.3375 80
C#5 14.6250 14.9625 0.3375 80
D#5 15.0000 15.3375 0.3375 80
F#3 15.0000 15.3375 0.3375 80
C#5 15.3750 15.7125 0.3375 80
C#4 15.3750 15.7125 0.3375 80
G#5 15.7500 16.0875 0.3375 80
F#4 15.7500 16.0875 0.3375 80
C#5 16.1250 16.4625 0.3375 80
G#4 16.1250 16.4625 0.3375 80
D#5 16.5000 16.8375 0.3375 80
A#4 16.5000 17.8500 1.3500 80
C#5 16.8750 17.2125 0.3375 80
G#4 17.2500 17.5875 0.3375 80
C#5 17.6250 17.9625 0.3375 80
D#5 18.0000 18.3375 0.3375 80
G#3 18.0000 18.3375 0.3375 80
C#5 18.3750 18.7125 0.3375 80
D#4 18.3750 18.7125 0.3375 80
G#5 18.7500 19.0875 0.3375 80
G#4 18.7500 19.0875 0.3375 80
C#5 19.1250 19.4625 0.3375 80
A#4 19.1250 19.4625 0.3375 80
D#5 19.5000 19.8375 0.3375 80
B4 19.5000 20.8500 1.3500 80
C#5 19.8750 20.2125 0.3375 80
G#5 20.2500 20.5875 0.3375 80
C#5 20.6250 20.9625 0.3375 80
D#6 21.0000 22.3500 1.3500 80
C6 21.0000 22.3500 1.3500 80
G#5 21.0000 22.3500 1.3500 80
D#5 21.0000 22.3500 1.3500 80
G#4 21.0000 22.3500 1.3500 80
D#4 21.0000 22.3500 1.3500 80
C4 21.0000 22.3500 1.3500 80
G#3 21.0000 22.3500 1.3500 80
D#5 22.5000 22.9050 0.4050 80
B3 22.8000 23.6100 0.8100 80
G#4 23.2500 23.3850 0.1350 80
B4 23.4000 23.5350 0.1350 80
D#5 23.5500 23.6850 0.1350 80
C#5 23.7000 24.2400 0.5400 80
A#4 23.7000 24.2400 0.5400 80
F#4 23.7000 24.2400 0.5400 80
F#3 23.7000 23.9700 0.2700 80
C#4 24.0000 24.2700 0.2700 80
F#5 24.3000 24.8400 0.5400 80
C#5 24.3000 24.8400 0.5400 80
F#4 24.3000 24.8400 0.5400 80
F#4 24.3000 24.8400 0.5400 80
C#5 24.9000 25.3050 0.4050 80
D#3 24.9000 25.1700 0.2700 80
A#3 25.2000 25.4700 0.2700 80
A#5 25.3500 25.4850 0.1350 80
G#5 25.5000 25.9050 0.4050 80
D#4 25.5000 25.7700 0.2700 80
A#3 25.8000 26.0700 0.2700 80
G5 25.9500 26.0850 0.1350 80
G#5 26.1000 26.6400 0.5400 80
G#3 26.1000 26.3700 0.2700 80
D#4 26.4000 26.6700 0.2700 80
D#6 26.7000 27.2400 0.5400 80
G#4 26.7000 26.9700 0.2700 80
D#4 27.0000 27.2700 0.2700 80
G#5 27.3000 27.8400 0.5400 80
E3 27.3000 27.5700 0.2700 80
B3 27.6000 27.8700 0.2700 80
D#6 27.9000 28.4400 0.5400 80
G#5 27.9000 28.4400 0.5400 80
E4 27.9000 28.1700 0.2700 80
B3 28.2000 28.4700 0.2700 80
C#6 28.5000 28.7700 0.2700 80
F#3 28.5000 28.7700 0.2700 80
C#6 28.8000 28.8675 0.0675 80
C#4 28.8000 29.0700 0.2700 80
D#6 28.8750 28.9425 0.0675 80
C#6 28.9500 29.0850 0.1350 80
A#5 29.1000 29.3700 0.2700 80
F#4 29.1000 29.3700 0.2700 80
F#5 29.4000 29.6700 0.2700 80
C#4 29.4000 29.6700 0.2700 80
G#5 29.7000 31.7100 2.0100 80
G#3 29.7000 29.9700 0.2700 80
D#4 30.0000 30.2700 0.2700 80
G#4 30.3000 30.5700 0.2700 80
A#4 30.6000 30.8700 0.2700 80
B4 30.9000 31.1700 0.2700 80
D#4 31.2000 31.4700 0.2700 80
G#4 31.5000 31.7700 0.2700 80
D#5 31.8000 32.0700 0.2700 80
D#5 32.1000 32.5050 0.4050 80
B4 32.1000 32.5050 0.4050 80
F#4 32.1000 32.5050 0.4050 80
E3 32.1000 32.3700 0.2700 80
B3 32.4000 33.2100 0.8100 80
G#4 32.8500 32.9850 0.1350 80
B4 33.0000 33.1350 0.1350 80
D#5 33.1500 33.2850 0.1350 80
C#5 33.3000 33.8400 0.5400 80
A#4 33.3000 33.8400 0.5400 80
F#4 33.3000 33.8400 0.5400 80
F#3 33.3000 33.5700 0.2700 80
C#4 33.6000 33.8700 0.2700 80
F#5 33.9000 34.4400 0.5400 80
C#5 33.9000 34.4400 0.5400 80
F#4 33.9000 34.4400 0.5400 80
F#4 33.9000 34.4400 0.5400 80
C#5 34.5000 34.7700 0.2700 80
D#3 34.5000 35.0400 0.5400 80
G5 34.8000 35.0700 0.2700 80
A#4 34.8000 35.0700 0.2700 80
G#5 35.1000 35.3700 0.2700 80
D#4 35.1000 35.6400 0.5400 80
A#5 35.4000 35.6700 0.2700 80
D#5 35.7000 35.8350 0.1350 80
G#3 35.7000 35.9700 0.2700 80
B5 35.8500 35.9850 0.1350 80
C#5 36.0000 36.1350 0.1350 80
D#4 36.0000 36.8100 0.8100 80
A#5 36.1500 36.2850 0.1350 80
B4 36.3000 36.4350 0.1350 80
G#5 36.4500 36.5850 0.1350 80
A#4 36.6000 36.7350 0.1350 80
F#5 36.7500 36.8850 0.1350 80
G#5 36.9000 37.0350 0.1350 80
E3 36.9000 37.1700 0.2700 80
D#6 37.0500 37.1850 0.1350 80
C#6 37.2000 37.3350 0.1350 80
B3 37.2000 37.4700 0.2700 80
D#6 37.3500 37.4850 0.1350 80
G#5 37.5000 37.6350 0.1350 80
E4 37.5000 38.0400 0.5400 80
D#6 37.6500 37.7850 0.1350 80
C#6 37.8000 37.9350 0.1350 80
D#6 37.9500 38.0850 0.1350 80
G#5 38.1000 38.2350 0.1350 80
F#3 38.1000 38.3700 0.2700 80
D#6 38.2500 38.3850 0.1350 80
C#6 38.4000 38.5350 0.1350 80
C#4 38.4000 38.6700 0.2700 80
D#6 38.5500 38.6850 0.1350 80
G#5 38.7000 38.8350 0.1350 80
F#4 38.7000 39.2400 0.5400 80
D#6 38.8500 38.9850 0.1350 80
C#6 39.0000 39.1350 0.1350 80
D#6 39.1500 39.2850 0.1350 80
G#5 39.3000 39.4350 0.1350 80
G#3 39.3000 39.5700 0.2700 80
D#6 39.4500 39.5850 0.1350 80
C6 39.6000 39.7350 0.1350 80
D#4 39.6000 39.8700 0.2700 80
D#6 39.7500 39.8850 0.1350 80
G#5 39.9000 40.0350 0.1350 80
G#4 39.9000 40.1700 0.2700 80
D#6 40.0500 40.1850 0.1350 80
C6 40.2000 40.3350 0.1350 80
A#4 40.2000 40.4700 0.2700 80
D#6 40.3500 40.4850 0.1350 80
G#5 40.5000 40.6350 0.1350 80
C5 40.5000 41.5800 1.0800 80
D#6 40.6500 40.7850 0.1350 80
C6 40.8000 40.9350 0.1350 80
D#6 40.9500 41.0850 0.1350 80
G#5 41.1000 41.3700 0.2700 80
D#5 41.4000 41.6700 0.2700 80
B5 41.7000 41.8350 0.1350 80
G#3 41.7000 41.9700 0.2700 80
D#5 41.8500 41.9850 0.1350 80
A#5 42.0000 42.1350 0.1350 80
D#4 42.0000 42.2700 0.2700 80
B3 42.0000 42.2700 0.2700 80
D#5 42.1500 42.2850 0.1350 80
B5 42.3000 42.4350 0.1350 80
C#4 42.3000 42.5700 0.2700 80
D#5 42.4500 42.5850 0.1350 80
C#6 42.6000 42.7350 0.1350 80
F#4 42.6000 42.8700 0.2700 80
D#4 42.6000 42.8700 0.2700 80
D#5 42.7500 42.8850 0.1350 80
A#5 42.9000 43.0350 0.1350 80
F#4 42.9000 43.1700 0.2700 80
A#3 42.9000 43.1700 0.2700 80
A#4 43.0500 43.1850 0.1350 80
G#5 43.2000 43.3350 0.1350 80
F4 43.2000 43.4700 0.2700 80
G#3 43.2000 43.4700 0.2700 80
A#4 43.3500 43.4850 0.1350 80
F#5 43.5000 43.7700 0.2700 80
D#4 43.5000 44.0400 0.5400 80
F#3 43.5000 44.0400 0.5400 80
D#5 43.8000 43.9350 0.1350 80
F#5 43.9500 44.0850 0.1350 80
G#5 44.1000 44.2350 0.1350 80
E3 44.1000 44.2350 0.1350 80
B4 44.2500 44.3850 0.1350 80
B3 44.2500 44.3850 0.1350 80
F#5 44.4000 44.5350 0.1350 80
E4 44.4000 44.5350 0.1350 80
B4 44.5500 44.6850 0.1350 80
B3 44.5500 44.6850 0.1350 80
G#5 44.7000 44.8350 0.1350 80
E4 44.7000 44.8350 0.1350 80
B4 44.8500 44.9850 0.1350 80
B3 44.8500 44.9850 0.1350 80
B5 45.0000 45.1350 0.1350 80
E4 45.0000 45.1350 0.1350 80
B4 45.1500 45.2850 0.1350 80
F#4 45.1500 45.2850 0.1350 80
