pitch start end duration velocity
G#4 0.0000 0.0349 0.0349 50
F#4 0.0465 0.0698 0.0233 34
F4 0.0698 0.0930 0.0233 33
G#4 0.1279 0.1512 0.0233 36
G#4 0.4651 0.4884 0.0233 50
A4 0.4884 0.5116 0.0233 44
F#4 0.5116 0.5349 0.0233 34
F4 0.5349 0.5581 0.0233 33
G#4 0.5814 0.6163 0.0349 37
G#4 0.9302 0.9651 0.0349 50
A4 0.9535 0.9767 0.0233 41
F#4 0.9651 0.9884 0.0233 35
F4 0.9884 1.0233 0.0349 34
G#4 1.0465 1.0698 0.0233 36
F4 1.1047 1.1395 0.0349 20
G#4 1.3837 1.4186 0.0349 49
A4 1.4186 1.4419 0.0233 38
F#4 1.4302 1.4535 0.0233 34
F4 1.4535 1.4884 0.0349 33
G#4 1.5116 1.5465 0.0349 34
F4 1.5698 1.6047 0.0349 19
A4 1.8372 1.8953 0.0581 38
A4 1.9070 1.9651 0.0581 29
E5 2.1977 2.2674 0.0698 14
D5 2.5349 2.6512 0.1163 26
A4 2.5930 2.7326 0.1395 21
A3 2.6047 2.7442 0.1395 36
G3 2.7558 2.7907 0.0349 33
C5 2.7674 2.8837 0.1163 35
A4 2.7907 2.9070 0.1163 30
A3 2.8023 2.9186 0.1163 41
G4 3.0000 3.0349 0.0349 24
B4 3.0000 3.1163 0.1163 41
G3 3.0116 3.0349 0.0233 31
G#3 3.0349 3.0581 0.0233 38
A4 3.0465 3.1628 0.1163 32
A3 3.0581 3.1744 0.1163 39
A4 3.2209 3.3953 0.1744 57
A3 3.2558 3.3256 0.0698 37
F4 3.3488 3.3721 0.0233 29
B5 3.6628 3.6977 0.0349 14
D5 3.6860 3.7093 0.0233 30
A4 3.6977 3.7442 0.0465 48
E5 3.7209 3.7558 0.0349 38
F#5 3.7209 3.7558 0.0349 23
B5 3.7209 3.7674 0.0465 19
A4 3.7558 3.8256 0.0698 41
F4 3.9419 3.9884 0.0465 23
F5 3.9535 4.0465 0.0930 27
C7 4.0116 4.0465 0.0349 20
D5 4.0233 4.0465 0.0233 29
C5 4.0465 4.0814 0.0349 31
E5 4.0465 4.1512 0.1047 31
A4 4.0698 4.1047 0.0349 25
D5 4.3837 4.5116 0.1279 37
G#4 4.3953 4.4302 0.0349 53
E5 4.4186 4.4651 0.0465 23
A3 4.4302 4.4767 0.0465 32
A4 4.4302 4.4767 0.0465 53
A4 4.5000 4.5698 0.0698 67
A3 4.5233 4.5581 0.0349 26
C5 4.6163 4.7326 0.1163 46
A3 4.6279 4.7558 0.1279 30
A4 4.6279 4.7674 0.1395 65
E5 4.6744 4.7442 0.0698 26
B4 4.8372 4.8953 0.0581 45
G4 4.8488 4.8837 0.0349 48
D5 4.8605 4.8837 0.0233 40
G#3 4.8837 4.9070 0.0233 29
A4 4.8953 5.0116 0.1163 59
E5 4.8953 5.0233 0.1279 30
B4 4.9070 4.9419 0.0349 43
A3 4.9070 5.0233 0.1163 29
G#4 5.0116 5.0349 0.0233 55
F#3 5.0465 5.0814 0.0349 19
A4 5.0698 5.1744 0.1047 66
C5 5.0698 5.1860 0.1163 48
A3 5.1047 5.1744 0.0698 28
E5 5.1163 5.2209 0.1047 42
B6 5.1628 5.2442 0.0814 28
C#7 5.1744 5.2093 0.0349 16
F#5 5.1744 5.2209 0.0465 30
F4 5.1977 5.2209 0.0233 29
F#7 5.2093 5.2442 0.0349 21
C#4 5.2209 5.2558 0.0349 20
A4 5.2209 5.2558 0.0349 37
E7 5.2209 5.2558 0.0349 23
A#4 5.2558 5.2791 0.0233 30
B4 5.2907 5.3605 0.0698 48
E5 5.3140 5.3953 0.0814 40
F#5 5.3256 5.3837 0.0581 37
C#6 5.3372 5.3721 0.0349 16
B4 5.3721 5.4884 0.1163 43
F#7 5.4186 5.5233 0.1047 29
C7 5.4419 5.5000 0.0581 16
D5 5.4767 5.5465 0.0698 43
E5 5.4767 5.5465 0.0698 35
E7 5.5000 5.5349 0.0349 16
A4 5.5465 5.5930 0.0465 44
A3 5.5814 5.6163 0.0349 23
A4 5.6047 5.6628 0.0581 37
D#4 5.6163 5.6512 0.0349 37
D4 5.6512 5.6860 0.0349 40
C4 5.6977 5.7209 0.0233 42
D4 5.7907 5.8140 0.0233 31
F#5 5.8140 5.8721 0.0581 46
E5 5.8140 6.0116 0.1977 56
B5 5.8256 5.8837 0.0581 19
G#6 5.8488 5.8837 0.0349 14
A6 5.8837 5.9535 0.0698 17
A5 5.8953 5.9767 0.0814 35
F#7 5.9186 5.9535 0.0349 15
G5 5.9186 5.9651 0.0465 29
E7 5.9186 5.9651 0.0465 23
D7 5.9302 5.9767 0.0465 19
A#6 5.9302 5.9884 0.0581 25
C7 5.9302 5.9884 0.0581 13
F7 5.9302 6.0000 0.0698 28
C4 6.0465 6.0814 0.0349 27
A#3 6.0814 6.1163 0.0349 33
E3 6.1744 6.1977 0.0233 29
E5 6.1744 6.2093 0.0349 17
D#3 6.1977 6.2209 0.0233 31
D5 6.2326 6.3721 0.1395 47
E5 6.2791 6.4302 0.1512 38
A4 6.2907 6.4535 0.1628 49
A3 6.3023 6.4302 0.1279 23
C#6 6.3023 6.4302 0.1279 24
C5 6.4651 6.5116 0.0465 45
G#3 6.4767 6.5000 0.0233 29
A4 6.4767 6.6047 0.1279 58
C#6 6.4884 6.5465 0.0581 27
A3 6.5000 6.6047 0.1047 28
E5 6.5000 6.6047 0.1047 46
C5 6.5233 6.5930 0.0698 40
D5 6.6860 6.7326 0.0465 44
B4 6.6860 6.7442 0.0581 39
G4 6.6977 6.7326 0.0349 39
A4 6.7442 6.8605 0.1163 50
E5 6.7442 6.8721 0.1279 45
B4 6.7558 6.7907 0.0349 37
A3 6.7558 6.8721 0.1163 26
C#6 6.7907 6.8605 0.0698 13
G#4 6.8605 6.8837 0.0233 46
F#3 6.8953 6.9302 0.0349 17
A4 6.9302 7.0116 0.0814 60
C#6 6.9419 7.0116 0.0698 41
E5 6.9535 7.0116 0.0581 42
A3 6.9535 7.0233 0.0698 26
G#4 7.0116 7.0465 0.0349 38
A4 7.0698 7.1047 0.0349 30
C6 7.1279 7.1628 0.0349 15
D6 7.1279 7.1628 0.0349 26
E6 7.1279 7.1744 0.0465 27
G#6 7.1279 7.1744 0.0465 25
C#6 7.1279 7.1977 0.0698 25
F#7 7.1395 7.2558 0.1163 18
B6 7.1512 7.1860 0.0349 27
A6 7.1512 7.2093 0.0581 26
D#6 7.1628 7.1860 0.0233 32
F#6 7.1744 7.2093 0.0349 10
E6 7.1860 7.2209 0.0349 17
C6 7.1860 7.2326 0.0465 36
E7 7.1860 7.2326 0.0465 24
G5 7.1860 7.2442 0.0581 33
A5 7.1977 7.2442 0.0465 25
A#6 7.1977 7.2442 0.0465 25
D#4 7.3023 7.3256 0.0233 31
D4 7.3256 7.3605 0.0349 33
C#4 7.3605 7.3837 0.0233 38
B3 7.3837 7.4070 0.0233 40
A4 7.3953 7.4419 0.0465 40
C4 7.4419 7.4767 0.0349 41
A4 7.4535 7.5116 0.0581 33
D7 7.4651 7.5233 0.0581 23
D4 7.4767 7.5116 0.0349 15
E7 7.4767 7.5233 0.0465 14
D5 7.4767 7.5349 0.0581 34
E5 7.4767 7.5349 0.0581 24
C7 7.4767 7.5349 0.0581 25
F#7 7.4767 7.5349 0.0581 14
D#4 7.5814 7.6279 0.0465 13
E5 7.6628 7.9535 0.2907 49
F#5 7.6744 7.7093 0.0349 27
B5 7.6744 7.7093 0.0349 18
F#7 7.6744 7.7093 0.0349 14
D5 7.7326 7.8372 0.1047 35
F#6 7.8023 7.8372 0.0349 28
E7 7.8140 7.8488 0.0349 20
B6 7.8372 7.8721 0.0349 24
F5 7.8372 7.8837 0.0465 35
C#7 7.8372 7.8953 0.0581 17
D7 7.8721 7.9419 0.0698 19
E7 7.8837 7.9302 0.0465 14
F#7 7.9070 7.9535 0.0465 9
E4 7.9419 7.9884 0.0465 14
D#4 7.9884 8.0233 0.0349 24
D6 8.0814 8.2209 0.1395 28
G#4 8.0930 8.1279 0.0349 41
D5 8.0930 8.2093 0.1163 37
D#6 8.1047 8.1395 0.0349 30
E5 8.1047 8.1744 0.0698 40
A5 8.1163 8.1628 0.0465 24
C#6 8.1279 8.1628 0.0349 17
A4 8.1279 8.1744 0.0465 44
A3 8.1395 8.1744 0.0349 26
E4 8.1512 8.1744 0.0233 39
A#4 8.1628 8.1977 0.0349 17
F5 8.1628 8.2442 0.0814 30
