pitch start end duration velocity
D4 0.0000 0.0217 0.0217 51
B4 0.0000 0.0217 0.0217 48
D#5 0.0000 0.0326 0.0326 54
G5 0.0000 0.0326 0.0326 61
C6 0.0000 0.0435 0.0435 27
E7 0.0000 0.0543 0.0543 25
D6 0.0000 0.1739 0.1739 50
A6 0.0000 0.2609 0.2609 40
E3 0.0109 0.0326 0.0217 49
B6 0.0109 0.0435 0.0326 30
C#7 0.0109 0.0870 0.0761 26
F6 0.0109 0.1196 0.1087 32
D#7 0.0109 0.1196 0.1087 22
D#4 0.0217 0.0435 0.0217 58
D5 0.0217 0.0435 0.0217 45
G#5 0.0217 0.0435 0.0217 59
A#4 0.0217 0.0543 0.0326 59
E5 0.0217 0.0761 0.0543 57
C7 0.0217 0.2609 0.2391 27
F#5 0.0326 0.0761 0.0435 58
F#7 0.0326 0.0978 0.0652 17
E4 0.0435 0.0652 0.0217 60
A5 0.0435 0.0652 0.0217 49
B5 0.0435 0.0652 0.0217 40
A#6 0.0435 0.2391 0.1957 37
A4 0.0543 0.0761 0.0217 50
C5 0.0543 0.0870 0.0326 52
A#5 0.0543 0.0978 0.0435 47
F4 0.0652 0.0870 0.0217 66
G5 0.0652 0.0870 0.0217 43
A#2 0.0652 0.0978 0.0326 40
G#6 0.0652 0.1304 0.0652 27
A#4 0.0761 0.0978 0.0217 58
D#6 0.0761 0.1087 0.0326 29
C#5 0.0870 0.1196 0.0326 48
F#4 0.0870 0.1304 0.0435 71
G#5 0.0870 0.1630 0.0761 54
F#6 0.0870 0.1630 0.0761 24
B2 0.0978 0.1196 0.0217 47
B4 0.0978 0.1304 0.0326 52
E5 0.0978 0.1413 0.0435 46
C6 0.1087 0.2065 0.0978 49
D#4 0.1196 0.1413 0.0217 35
G5 0.1196 0.1413 0.0217 54
G4 0.1304 0.1630 0.0326 71
C5 0.1304 0.1739 0.0435 59
D#7 0.1304 0.2500 0.1196 17
D5 0.1413 0.1630 0.0217 38
F5 0.1413 0.1739 0.0326 52
D#6 0.1413 0.1848 0.0435 33
C#7 0.1413 0.1957 0.0543 13
G#2 0.1522 0.1848 0.0326 33
A5 0.1522 0.1848 0.0326 54
A#5 0.1522 0.2609 0.1087 46
G#4 0.1630 0.1848 0.0217 69
D#5 0.1630 0.1848 0.0217 36
G5 0.1630 0.1848 0.0217 41
C4 0.1630 0.2065 0.0435 37
C#5 0.1739 0.1957 0.0217 53
F#5 0.1739 0.1957 0.0217 59
A4 0.1848 0.2065 0.0217 73
E4 0.1848 0.2391 0.0543 31
E6 0.1848 0.2391 0.0543 20
D6 0.1848 0.2500 0.0652 47
D5 0.1957 0.2174 0.0217 53
G5 0.1957 0.2283 0.0326 55
B5 0.2065 0.2391 0.0326 31
A#4 0.2065 0.2609 0.0543 75
D#5 0.2174 0.2500 0.0326 45
C#3 0.2283 0.2500 0.0217 43
F#5 0.2283 0.2500 0.0217 35
G#5 0.2283 0.2500 0.0217 57
A5 0.3261 0.3478 0.0217 46
A#6 0.3261 0.3587 0.0326 26
D#6 0.3261 0.3696 0.0435 36
F5 0.3261 0.3913 0.0652 65
G6 0.3261 0.4130 0.0870 30
C5 0.3261 0.4239 0.0978 55
C6 0.3261 0.4239 0.0978 64
E7 0.3370 0.3696 0.0326 35
D#7 0.3370 0.4022 0.0652 37
G4 0.3370 0.4130 0.0761 64
D6 0.3370 0.4130 0.0761 56
A6 0.3370 0.4348 0.0978 47
A#2 0.3478 0.3696 0.0217 42
F3 0.3478 0.3804 0.0326 46
A#5 0.3478 0.3804 0.0326 36
G#5 0.3478 0.4130 0.0652 52
D4 0.3587 0.3804 0.0217 37
D5 0.3696 0.3913 0.0217 43
B6 0.3696 0.4130 0.0435 31
E6 0.3696 0.4239 0.0543 35
C3 0.3804 0.4022 0.0217 48
D#4 0.3804 0.4022 0.0217 39
E5 0.3804 0.4022 0.0217 53
C#7 0.3804 0.4130 0.0326 23
A#6 0.3804 0.4239 0.0435 23
F#3 0.3913 0.4130 0.0217 47
F#5 0.3913 0.4130 0.0217 37
A#5 0.4022 0.4348 0.0326 15
G2 0.4239 0.4457 0.0217 40
G#5 0.4783 0.5000 0.0217 47
F#5 0.4783 0.5109 0.0326 53
A#6 0.4783 0.5652 0.0870 25
E7 0.4783 0.5652 0.0870 30
D6 0.4783 0.5761 0.0978 66
A6 0.4783 0.5761 0.0978 39
F#4 0.4891 0.5000 0.0109 69
D5 0.4891 0.5109 0.0217 55
F6 0.4891 0.5109 0.0217 33
C5 0.4891 0.5217 0.0326 52
B5 0.4891 0.5435 0.0543 46
C7 0.4891 0.5543 0.0652 14
C#7 0.4891 0.5543 0.0652 18
D#7 0.4891 0.5652 0.0761 30
C#3 0.5000 0.5217 0.0217 44
G5 0.5000 0.5326 0.0326 62
A5 0.5000 0.5870 0.0870 63
E4 0.5109 0.5435 0.0326 58
C#5 0.5109 0.5435 0.0326 44
A4 0.5109 0.5543 0.0435 52
F#5 0.5217 0.5543 0.0326 58
C5 0.5435 0.5652 0.0217 37
A#3 0.5435 0.5761 0.0326 36
F5 0.5435 0.5761 0.0326 35
C6 0.6413 0.6739 0.0326 40
A6 0.6413 0.7609 0.1196 41
C#4 0.6522 0.6739 0.0217 54
D#5 0.6522 0.6848 0.0326 53
F5 0.6522 0.6848 0.0326 62
A#5 0.6522 0.6848 0.0326 39
G#5 0.6522 0.7065 0.0543 53
F#7 0.6522 0.7174 0.0652 15
C#5 0.6522 0.7283 0.0761 69
B6 0.6522 0.7717 0.1196 27
C#7 0.6522 0.9022 0.2500 23
E7 0.6522 0.9022 0.2500 29
F#6 0.6630 0.6957 0.0326 26
G#4 0.6630 0.7065 0.0435 73
D6 0.6630 0.7826 0.1196 49
G6 0.6739 0.7065 0.0326 24
B5 0.6848 0.7174 0.0326 39
E5 0.6848 0.7391 0.0543 47
F#5 0.6848 0.7500 0.0652 65
F4 0.7065 0.7283 0.0217 36
A4 0.7065 0.7717 0.0652 71
G#6 0.7065 0.7826 0.0761 34
C3 0.7174 0.7391 0.0217 48
C6 0.7174 0.7391 0.0217 32
G7 0.7174 0.7500 0.0326 16
A#5 0.7174 0.8152 0.0978 39
D#4 0.7283 0.7609 0.0326 37
D5 0.7283 0.7826 0.0543 67
G6 0.7283 0.8478 0.1196 33
F5 0.7391 0.7935 0.0543 42
F#3 0.7500 0.7717 0.0217 32
C6 0.7500 0.7935 0.0435 49
G5 0.7500 0.8043 0.0543 66
D#6 0.7609 0.8261 0.0652 46
A#4 0.7717 0.8152 0.0435 69
C#4 0.7717 0.8261 0.0543 41
A6 0.7717 0.9130 0.1413 39
D#5 0.7826 0.8261 0.0435 61
G#6 0.7935 0.8261 0.0326 29
C#6 0.7935 0.8478 0.0543 29
E6 0.7935 0.8478 0.0543 32
D6 0.7935 0.8587 0.0652 41
C7 0.7935 0.8913 0.0978 14
C#3 0.8043 0.8261 0.0217 47
G#5 0.8043 0.8478 0.0435 63
F#6 0.8043 0.8478 0.0435 11
B6 0.8043 0.9130 0.1087 35
C6 0.8043 0.9239 0.1196 53
G3 0.8152 0.8370 0.0217 38
B4 0.8152 0.8478 0.0326 69
E5 0.8261 0.8587 0.0326 66
D#4 0.8370 0.8804 0.0435 48
A5 0.8370 0.9022 0.0652 64
D#7 0.8370 0.9022 0.0652 22
F6 0.8370 0.9130 0.0761 31
C5 0.8478 0.8913 0.0435 73
G#6 0.8478 0.9022 0.0543 23
F5 0.8587 0.8913 0.0326 67
D#6 0.8587 0.8913 0.0326 41
E6 0.8587 0.8913 0.0326 29
F#6 0.8587 0.8913 0.0326 25
G5 0.8587 0.9022 0.0435 52
B5 0.8696 0.8913 0.0217 36
D7 0.8696 0.9022 0.0326 10
E5 0.8804 0.9239 0.0435 55
A#5 0.8804 0.9239 0.0435 43
D6 0.8913 0.9130 0.0217 46
A4 0.9022 0.9239 0.0217 40
G#2 0.9239 0.9565 0.0326 37
A#5 0.9674 0.9891 0.0217 49
F#5 0.9674 1.0217 0.0543 62
D6 0.9674 1.0543 0.0870 51
C6 0.9674 1.0652 0.0978 58
A#3 0.9783 1.0109 0.0326 44
G6 0.9783 1.0326 0.0543 26
A4 0.9783 1.0543 0.0761 67
C#5 0.9783 1.0543 0.0761 60
D#7 0.9783 1.0543 0.0761 29
A6 0.9783 1.0652 0.0870 31
C#7 0.9783 1.0652 0.0870 24
G5 0.9891 1.0435 0.0543 61
G#6 0.9891 1.0543 0.0652 32
E7 0.9891 1.0543 0.0652 21
B6 0.9891 1.0652 0.0761 30
A#2 1.0000 1.0326 0.0326 46
E4 1.0000 1.0326 0.0326 44
E5 1.0000 1.0435 0.0435 55
A#6 1.0000 1.0652 0.0652 20
G3 1.0217 1.0435 0.0217 35
D#6 1.0217 1.0435 0.0217 38
F6 1.0217 1.0543 0.0326 21
D#4 1.0326 1.0543 0.0217 37
F#5 1.0326 1.0761 0.0435 68
F#3 1.0435 1.0652 0.0217 44
G5 1.1196 1.1630 0.0435 65
C6 1.1196 1.1630 0.0435 40
F5 1.1196 1.1739 0.0543 65
A5 1.1196 1.2174 0.0978 62
D6 1.1196 1.2283 0.1087 48
D#4 1.1304 1.1630 0.0326 33
G#6 1.1304 1.1630 0.0326 30
C#7 1.1304 1.2283 0.0978 23
D#7 1.1304 1.3261 0.1957 27
A#6 1.1304 1.3913 0.2609 41
G4 1.1413 1.1630 0.0217 65
C5 1.1413 1.1739 0.0326 58
E7 1.1413 1.3913 0.2500 36
A2 1.1522 1.1739 0.0217 43
G#4 1.1630 1.1848 0.0217 65
D#6 1.1630 1.1957 0.0326 23
F#6 1.1630 1.2065 0.0435 18
E3 1.1739 1.1957 0.0217 45
C#5 1.1739 1.1957 0.0217 59
C6 1.1739 1.1957 0.0217 37
F#5 1.1739 1.2065 0.0326 62
A#5 1.1848 1.2065 0.0217 50
C4 1.1848 1.2174 0.0326 38
A4 1.1848 1.2174 0.0326 67
F#3 1.1957 1.2283 0.0326 41
D5 1.1957 1.2283 0.0326 60
E6 1.1957 1.2826 0.0870 24
G5 1.2065 1.2500 0.0435 62
B6 1.2065 1.3804 0.1739 29
C6 1.2174 1.2500 0.0326 27
A#4 1.2174 1.2935 0.0761 66
B5 1.2174 1.3043 0.0870 60
D#5 1.2283 1.3261 0.0978 54
F#3 1.2391 1.2609 0.0217 39
E4 1.2391 1.2609 0.0217 37
D6 1.2391 1.2717 0.0326 22
C#5 1.2391 1.2826 0.0435 39
F#5 1.2391 1.2935 0.0543 37
G#5 1.2391 1.3370 0.0978 69
G#3 1.2609 1.2935 0.0326 26
G#4 1.2826 1.3152 0.0326 32
F4 1.2826 1.3370 0.0543 38
F6 1.2826 1.3587 0.0761 26
C6 1.2826 1.3696 0.0870 74
D6 1.2935 1.3261 0.0326 22
E6 1.2935 1.3261 0.0326 24
B4 1.2935 1.3804 0.0870 62
C#3 1.3043 1.3370 0.0326 36
G5 1.3261 1.3587 0.0326 34
D#6 1.3261 1.3696 0.0435 40
E5 1.3261 1.3913 0.0652 56
G#4 1.3370 1.3587 0.0217 30
D4 1.3370 1.3804 0.0435 42
A5 1.3370 1.3913 0.0543 67
D7 1.3478 1.3804 0.0326 17
D3 1.3587 1.3804 0.0217 30
F#5 1.3587 1.3804 0.0217 47
A4 1.3587 1.3913 0.0326 45
C#6 1.3587 1.3913 0.0326 62
F#4 1.3587 1.4022 0.0435 45
A3 1.3696 1.3913 0.0217 39
G#2 1.4022 1.4239 0.0217 30
B6 1.4457 1.5435 0.0978 30
D6 1.4457 1.5543 0.1087 68
F#3 1.4565 1.4783 0.0217 52
C#4 1.4565 1.4891 0.0326 52
G5 1.4565 1.4891 0.0326 64
F6 1.4565 1.4891 0.0326 21
F#6 1.4565 1.5000 0.0435 24
G#6 1.4565 1.5000 0.0435 37
B5 1.4565 1.5217 0.0652 39
A#6 1.4565 1.5217 0.0652 20
A4 1.4565 1.5326 0.0761 61
D#7 1.4565 1.5326 0.0761 30
A5 1.4565 1.5435 0.0870 61
E6 1.4565 1.5435 0.0870 26
E7 1.4674 1.5326 0.0652 28
G3 1.4783 1.5000 0.0217 48
C#3 1.4783 1.5109 0.0326 47
C7 1.4891 1.5217 0.0326 20
F#5 1.4891 1.5435 0.0543 52
D#6 1.5000 1.5326 0.0326 44
C6 1.5000 1.5435 0.0435 21
F6 1.5000 1.5543 0.0543 17
D4 1.5109 1.5435 0.0326 42
A#4 1.5326 1.5543 0.0217 36
F5 1.6087 1.6304 0.0217 43
G5 1.6087 1.6739 0.0652 61
C#5 1.6087 1.6848 0.0761 52
B5 1.6087 1.7065 0.0978 54
A6 1.6087 1.7065 0.0978 47
D#7 1.6087 1.7065 0.0978 26
E7 1.6087 1.7065 0.0978 26
D6 1.6087 1.7174 0.1087 67
A#3 1.6196 1.6522 0.0326 32
A4 1.6196 1.6957 0.0761 63
A#6 1.6196 1.6957 0.0761 35
C7 1.6196 1.7065 0.0870 17
D4 1.6304 1.6957 0.0652 46
C#7 1.6304 1.7065 0.0761 31
D#6 1.6413 1.6739 0.0326 41
E5 1.6630 1.6957 0.0326 46
F#5 1.6630 1.6957 0.0326 37
F6 1.6739 1.7065 0.0326 25
C6 1.6739 1.7174 0.0435 26
C#3 1.6957 1.7174 0.0217 49
G4 1.6957 1.7174 0.0217 33
A#4 1.6957 1.7174 0.0217 47
F5 1.6957 1.7174 0.0217 33
G#3 1.7717 1.8043 0.0326 39
C#5 1.7717 1.8152 0.0435 47
A5 1.7717 1.8696 0.0978 45
B5 1.7717 1.8696 0.0978 45
G6 1.7717 1.8696 0.0978 35
E5 1.7717 1.8804 0.1087 46
D6 1.7717 1.8804 0.1087 63
F6 1.7826 1.8261 0.0435 17
G#6 1.7826 1.8478 0.0652 17
A#6 1.7826 1.8478 0.0652 12
G5 1.7826 1.8587 0.0761 60
A4 1.7826 1.8696 0.0870 69
C7 1.7826 1.8696 0.0870 23
D#7 1.7826 1.8696 0.0870 23
E7 1.7826 1.8696 0.0870 23
A#2 1.8043 1.8261 0.0217 46
D4 1.8043 1.8804 0.0761 51
F#6 1.8152 1.8478 0.0326 15
C#7 1.8152 1.8478 0.0326 15
D#6 1.8152 1.8587 0.0435 48
C#5 1.8370 1.8587 0.0217 57
C#3 1.8478 1.8696 0.0217 34
F#5 1.8478 1.8696 0.0217 44
C5 1.8587 1.8804 0.0217 38
G2 1.8804 1.9022 0.0217 32
F#4 1.9348 1.9565 0.0217 48
D#5 1.9348 1.9565 0.0217 55
B6 1.9348 1.9674 0.0326 24
A5 1.9348 1.9783 0.0435 48
E6 1.9348 1.9783 0.0435 30
C5 1.9348 1.9891 0.0543 77
D6 1.9348 2.0217 0.0870 55
B2 1.9457 1.9674 0.0217 45
A#3 1.9457 1.9674 0.0217 37
G5 1.9457 1.9783 0.0326 69
C#7 1.9457 1.9891 0.0435 23
A#6 1.9457 2.0109 0.0652 32
F#6 1.9457 2.0326 0.0870 24
D#7 1.9457 2.0870 0.1413 32
D4 1.9565 1.9783 0.0217 37
G4 1.9565 1.9783 0.0217 54
F5 1.9565 1.9891 0.0326 50
C3 1.9674 1.9891 0.0217 47
D#6 1.9674 2.0109 0.0435 25
G#6 1.9674 2.0217 0.0543 30
G#4 1.9783 2.0000 0.0217 55
G#5 1.9783 2.0000 0.0217 57
C#5 1.9891 2.0000 0.0109 76
G#3 1.9891 2.0109 0.0217 31
E5 1.9891 2.0109 0.0217 41
F#5 1.9891 2.0109 0.0217 43
B6 1.9891 2.0652 0.0761 20
E7 1.9891 2.5870 0.5978 29
A4 2.0000 2.0217 0.0217 44
D5 2.0000 2.0217 0.0217 75
A5 2.0000 2.1522 0.1522 55
G6 2.0000 2.1957 0.1957 28
D4 2.0109 2.0326 0.0217 34
G5 2.0109 2.0326 0.0217 36
B5 2.0109 2.0543 0.0435 34
D#5 2.0217 2.0326 0.0109 69
F#4 2.0217 2.0435 0.0217 30
C#5 2.0217 2.0435 0.0217 40
G2 2.0217 2.0543 0.0326 39
F#5 2.0217 2.0543 0.0326 50
C#6 2.0217 2.0761 0.0543 40
B4 2.0326 2.0543 0.0217 48
G#5 2.0326 2.0543 0.0217 37
D#4 2.0326 2.0652 0.0326 25
E5 2.0326 2.0652 0.0326 80
A#3 2.0435 2.0978 0.0543 32
A#6 2.0435 2.0978 0.0543 28
G4 2.0435 2.1196 0.0761 31
E3 2.0543 2.0761 0.0217 40
C5 2.0543 2.1739 0.1196 52
B5 2.0652 2.1196 0.0543 25
F5 2.0652 2.1304 0.0652 82
G#5 2.0652 2.1304 0.0652 33
A#5 2.0761 2.0978 0.0217 30
D6 2.0761 2.1087 0.0326 38
D5 2.0978 2.1304 0.0326 32
D#7 2.0978 2.3370 0.2391 26
G5 2.1196 2.1413 0.0217 32
D6 2.1196 2.1413 0.0217 38
E6 2.1196 2.1413 0.0217 40
E3 2.1196 2.1522 0.0326 24
A#3 2.1196 2.1739 0.0543 29
C#7 2.1196 2.3696 0.2500 32
D#4 2.1304 2.1522 0.0217 34
E5 2.1304 2.1630 0.0326 78
D#6 2.1413 2.1630 0.0217 50
D#5 2.1522 2.1630 0.0109 71
E4 2.1522 2.1739 0.0217 42
G5 2.1522 2.1848 0.0326 45
A#5 2.1522 2.1848 0.0326 36
A#2 2.1630 2.1848 0.0217 30
A4 2.1630 2.1957 0.0326 43
D5 2.1630 2.1957 0.0326 79
G#6 2.1739 2.2717 0.0978 33
E4 2.1848 2.2174 0.0326 32
B5 2.1848 2.2174 0.0326 23
F#5 2.1848 2.2717 0.0870 40
G#4 2.1957 2.2283 0.0326 37
G5 2.1957 2.2283 0.0326 35
C#5 2.1957 2.2717 0.0761 81
A#5 2.1957 2.2826 0.0870 27
F#3 2.2065 2.2283 0.0217 36
F#4 2.2174 2.2391 0.0217 36
A#6 2.2174 2.2826 0.0652 29
G#5 2.2283 2.2717 0.0435 37
C#4 2.2283 2.2826 0.0543 23
G#4 2.2391 2.2717 0.0326 34
D#6 2.2391 2.2826 0.0435 23
E6 2.2500 2.2826 0.0326 20
G5 2.2500 2.2935 0.0435 30
C7 2.2500 2.5870 0.3370 33
F5 2.2609 2.2935 0.0326 38
A4 2.2717 2.2935 0.0217 42
D5 2.2717 2.3043 0.0326 77
A6 2.2717 2.5761 0.3043 40
A3 2.2826 2.3043 0.0217 30
F#5 2.2826 2.3043 0.0217 32
A#4 2.2935 2.3152 0.0217 47
B2 2.2935 2.3261 0.0326 26
D#6 2.2935 2.3261 0.0326 53
A#6 2.2935 2.3696 0.0761 26
E5 2.3043 2.3261 0.0217 76
G5 2.3043 2.3261 0.0217 35
B6 2.3043 2.3370 0.0326 13
C6 2.3043 2.3587 0.0543 24
F6 2.3043 2.3587 0.0543 31
D6 2.3043 2.4457 0.1413 36
G4 2.3152 2.3370 0.0217 30
C5 2.3152 2.3478 0.0326 43
A5 2.3152 2.3478 0.0326 35
F5 2.3261 2.3478 0.0217 79
F#7 2.3261 2.3587 0.0326 17
F4 2.3261 2.3804 0.0543 15
C#5 2.3478 2.3696 0.0217 39
F#5 2.3478 2.3696 0.0217 80
F3 2.3478 2.3804 0.0326 21
E6 2.3478 2.3804 0.0326 16
C#4 2.3478 2.4130 0.0652 28
B5 2.3478 2.4130 0.0652 31
G#6 2.3478 2.5543 0.2065 32
D#7 2.3478 2.5761 0.2283 39
F5 2.3587 2.4022 0.0435 15
A4 2.3587 2.4130 0.0543 36
D#6 2.3587 2.4348 0.0761 29
G5 2.3696 2.4130 0.0435 81
D5 2.3696 2.4239 0.0543 42
C5 2.3696 2.4565 0.0870 42
A#5 2.3696 2.4565 0.0870 36
F6 2.3804 2.4239 0.0435 19
F#7 2.3804 2.4239 0.0435 9
C#7 2.3804 2.4783 0.0978 29
F#5 2.4130 2.4348 0.0217 81
C4 2.4130 2.4565 0.0435 25
F5 2.4348 2.4565 0.0217 79
A#2 2.4348 2.4674 0.0326 17
B6 2.4348 2.5870 0.1522 29
B4 2.4457 2.4783 0.0326 36
G#5 2.4457 2.4783 0.0326 43
E5 2.4565 2.4674 0.0109 76
G4 2.4565 2.4783 0.0217 33
G7 2.4565 2.4891 0.0326 11
D#5 2.4674 2.4891 0.0217 75
F#6 2.4674 2.5000 0.0326 19
A#5 2.4674 2.5109 0.0435 29
D6 2.4674 2.5870 0.1196 56
G5 2.4783 2.5217 0.0435 48
A4 2.4783 2.5435 0.0652 48
A5 2.4783 2.5870 0.1087 49
D5 2.4891 2.5000 0.0109 79
E4 2.4891 2.5326 0.0435 39
C#5 2.5000 2.5217 0.0217 78
F5 2.5000 2.5217 0.0217 56
D#6 2.5000 2.5217 0.0217 32
C#7 2.5000 2.5326 0.0326 21
E6 2.5000 2.5761 0.0761 22
C5 2.5109 2.5435 0.0326 59
A3 2.5217 2.5652 0.0435 39
F#5 2.5217 2.5652 0.0435 72
B5 2.5217 2.5761 0.0543 36
D5 2.5217 2.5870 0.0652 54
E5 2.5435 2.5652 0.0217 35
B4 2.5543 2.5761 0.0217 48
G5 2.5652 2.5870 0.0217 56
C6 2.5652 2.5870 0.0217 31
C#5 2.6304 2.6522 0.0217 42
F#6 2.6304 2.6848 0.0543 27
F#4 2.6304 2.7065 0.0761 70
D7 2.6304 2.7065 0.0761 25
C6 2.6304 2.7500 0.1196 46
A6 2.6304 2.7826 0.1522 39
D#7 2.6304 2.7935 0.1630 32
E6 2.6304 2.8152 0.1848 54
A4 2.6413 2.6630 0.0217 49
D6 2.6413 2.6739 0.0326 23
G#5 2.6413 2.6957 0.0543 52
A#6 2.6413 2.6957 0.0543 26
C#4 2.6413 2.7174 0.0761 49
E5 2.6413 2.7174 0.0761 71
B6 2.6413 2.7174 0.0761 24
F7 2.6413 2.7391 0.0978 16
G6 2.6522 2.7500 0.0978 30
D#6 2.6630 2.7065 0.0435 23
D5 2.6739 2.7174 0.0435 35
F#3 2.6848 2.7174 0.0326 50
B4 2.6848 2.7391 0.0543 49
F6 2.6848 2.7717 0.0870 36
D6 2.6957 2.7717 0.0761 41
G4 2.7065 2.7391 0.0326 66
C#7 2.7065 2.7500 0.0435 20
G#6 2.7065 2.8370 0.1304 41
A#6 2.7065 2.8370 0.1304 34
F3 2.7174 2.7391 0.0217 43
D4 2.7174 2.7391 0.0217 47
D#5 2.7174 2.7391 0.0217 33
F5 2.7174 2.7500 0.0326 69
C#5 2.7283 2.7935 0.0652 45
G#4 2.7391 2.7609 0.0217 60
F#5 2.7391 2.7717 0.0326 71
A#3 2.7500 2.7717 0.0217 29
A5 2.7500 2.7826 0.0326 43
E4 2.7500 2.8043 0.0543 36
B6 2.7500 2.8696 0.1196 23
D#6 2.7609 2.7826 0.0217 36
