pitch start end duration velocity
A4 0.0000 0.4500 0.4500 50
C4 0.0000 2.4000 2.4000 50
A2 0.0000 2.4000 2.4000 50
A3 0.0000 2.4000 2.4000 50
E3 0.0000 2.4000 2.4000 50
A4 0.4500 0.6000 0.1500 50
A4 0.6000 1.2000 0.6000 50
A4 1.8000 1.9500 0.1500 50
E4 1.9500 2.1000 0.1500 50
A4 2.1000 2.2500 0.1500 50
B4 2.2500 2.4000 0.1500 50
C5 2.4000 2.8500 0.4500 50
C4 2.4000 4.8000 2.4000 50
A3 2.4000 4.8000 2.4000 50
F2 2.4000 4.8000 2.4000 50
F3 2.4000 4.8000 2.4000 50
C3 2.4000 4.8000 2.4000 50
C5 2.8500 3.0000 0.1500 50
C5 3.0000 3.6000 0.6000 50
C5 4.2000 4.5000 0.3000 50
D5 4.5000 4.8000 0.3000 50
G4 4.8000 5.2500 0.4500 50
G2 4.8000 7.2000 2.4000 50
E3 4.8000 7.2000 2.4000 50
C3 4.8000 7.2000 2.4000 50
G3 4.8000 7.2000 2.4000 50
G4 5.2500 5.4000 0.1500 50
G4 5.4000 6.0000 0.6000 50
F4 6.0000 6.6000 0.6000 50
E4 6.6000 7.2000 0.6000 50
G2 7.2000 9.6000 2.4000 50
D4 7.2000 9.6000 2.4000 50
B3 7.2000 9.6000 2.4000 50
G3 7.2000 9.6000 2.4000 50
D3 7.2000 9.6000 2.4000 50
A4 9.6000 10.0500 0.4500 50
E3 9.6000 12.0000 2.4000 50
A3 9.6000 12.0000 2.4000 50
A2 9.6000 12.0000 2.4000 50
C4 9.6000 12.0000 2.4000 50
A4 10.0500 10.2000 0.1500 50
A4 10.2000 10.8000 0.6000 50
A4 11.4000 11.5500 0.1500 50
E4 11.5500 11.7000 0.1500 50
A4 11.7000 11.8500 0.1500 50
B4 11.8500 12.0000 0.1500 50
C5 12.0000 12.4500 0.4500 50
A3 12.0000 14.4000 2.4000 50
F3 12.0000 14.4000 2.4000 50
C4 12.0000 14.4000 2.4000 50
C3 12.0000 14.4000 2.4000 50
C5 12.4500 12.6000 0.1500 50
C5 12.6000 13.2000 0.6000 50
C5 13.8000 14.1000 0.3000 50
D5 14.1000 14.4000 0.3000 50
G4 14.4000 15.6000 1.2000 50
C3 14.4000 16.8000 2.4000 50
E3 14.4000 16.8000 2.4000 50
G3 14.4000 16.8000 2.4000 50
G2 14.4000 16.8000 2.4000 50
E4 15.9000 16.2000 0.3000 50
F4 16.2000 16.5000 0.3000 50
G4 16.5000 16.8000 0.3000 50
A4 16.8000 18.0000 1.2000 50
F3 16.8000 19.2000 2.4000 50
A3 16.8000 19.2000 2.4000 50
D3 16.8000 19.2000 2.4000 50
A2 16.8000 19.2000 2.4000 50
B4 18.0000 19.2000 1.2000 50
C5 19.2000 19.6500 0.4500 50
A2 19.2000 21.6000 2.4000 50
E3 19.2000 21.6000 2.4000 50
C4 19.2000 21.6000 2.4000 50
E4 19.2000 21.6000 2.4000 50
A3 19.2000 21.6000 2.4000 50
C5 19.6500 19.8000 0.1500 50
