pitch start end duration velocity
C2 0.0000 0.0116 0.0116 77
A#3 0.0000 0.0233 0.0233 48
F5 0.0000 0.5000 0.5000 17
G4 0.0000 1.2209 1.2209 32
A4 0.0000 1.2326 1.2326 28
B4 0.0000 1.2326 1.2326 29
G#5 0.0000 1.2326 1.2326 22
C#4 0.0000 1.2442 1.2442 51
E4 0.0000 1.4651 1.4651 51
D2 0.0116 0.0233 0.0116 75
D#5 0.0116 0.0465 0.0349 16
D#2 0.0233 0.0349 0.0116 82
A3 0.0233 0.6628 0.6395 54
E3 0.0233 1.2326 1.2093 53
C#2 0.0349 0.0465 0.0116 88
C2 0.0465 0.0581 0.0116 88
B1 0.0581 0.0698 0.0116 86
D#5 0.0581 0.5000 0.4419 21
A#1 0.0698 0.0814 0.0116 82
A1 0.0814 0.0930 0.0116 74
G#1 0.0930 0.1047 0.0116 69
A1 0.1047 1.2326 1.1279 71
A2 0.3488 1.2326 0.8837 72
A#5 0.4767 0.5116 0.0349 30
D#6 0.4767 0.5116 0.0349 41
E6 0.4767 0.5233 0.0465 41
G6 0.4767 0.5233 0.0465 28
C7 0.4767 0.5349 0.0581 53
C#7 0.4767 0.5349 0.0581 40
F6 0.4767 0.5465 0.0698 33
F#6 0.4767 0.5465 0.0698 32
B6 0.4767 0.5465 0.0698 56
D7 0.4884 0.5349 0.0465 39
G#6 0.4884 0.5465 0.0581 33
A6 0.4884 0.5465 0.0581 49
A#6 0.4884 0.5465 0.0581 53
D6 0.5000 0.5349 0.0349 38
C6 0.5116 0.5581 0.0465 19
D#5 0.5233 0.7326 0.2093 21
F5 0.5233 2.5930 2.0698 19
A#5 0.5349 1.2558 0.7209 22
D#5 0.7442 0.9884 0.2442 21
D#5 1.0000 1.2209 0.2209 21
G#1 1.2326 1.2442 0.0116 70
G3 1.2326 1.2442 0.0116 67
A#2 1.2326 1.2558 0.0233 84
B4 1.2442 1.9884 0.7442 28
G4 1.2442 3.2326 1.9884 39
G#1 1.2558 1.2674 0.0116 65
A2 1.2558 1.2674 0.0116 78
A4 1.2558 1.8488 0.5930 30
A#1 1.2674 1.2791 0.0116 83
A3 1.2674 1.5465 0.2791 52
C#4 1.2674 1.9884 0.7209 52
C2 1.2791 1.3023 0.0233 93
E3 1.2907 1.9767 0.6860 49
B1 1.3023 1.3140 0.0116 84
A#1 1.3140 1.3256 0.0116 74
G#2 1.3140 1.3256 0.0116 66
A1 1.3256 1.3372 0.0116 68
D#5 1.3256 1.5000 0.1744 20
G1 1.3372 1.3488 0.0116 67
G#1 1.3488 1.3605 0.0116 65
A1 1.3605 1.9884 0.6279 71
G#5 1.3837 2.6860 1.3023 24
A#5 1.4767 1.5116 0.0349 27
F6 1.4767 1.5349 0.0581 33
C#7 1.4767 1.5349 0.0581 41
D#6 1.4767 1.5465 0.0698 41
F#6 1.4767 1.5465 0.0698 32
G6 1.4767 1.5465 0.0698 30
A#6 1.4767 1.5465 0.0698 54
C7 1.4767 1.5581 0.0814 52
E6 1.4884 1.5116 0.0233 41
G#6 1.4884 1.5465 0.0581 32
A6 1.4884 1.5465 0.0581 50
D7 1.4884 1.5465 0.0581 40
B6 1.4884 1.5581 0.0698 57
D6 1.5000 1.5465 0.0465 38
C6 1.5116 1.5581 0.0465 22
D#5 1.5233 1.8605 0.3372 21
