pitch start end duration velocity
D3 0.0000 0.4989 0.4989 97
D2 0.0000 0.4989 0.4989 82
A2 1.0526 1.5515 0.4989 95
A1 1.0526 1.5515 0.4989 78
D3 2.1053 2.6042 0.4989 97
D2 2.1053 2.6042 0.4989 82
A2 3.1579 3.6568 0.4989 95
A1 3.1579 3.6568 0.4989 78
D4 3.6842 3.8498 0.1656 75
D4 3.8597 4.0252 0.1656 74
D4 4.0351 4.2007 0.1656 74
F4 4.2105 4.7094 0.4989 91
D2 4.2105 4.7094 0.4989 82
D3 4.2105 4.7094 0.4989 97
A2 5.2632 5.7621 0.4989 95
A1 5.2632 5.7621 0.4989 78
D3 6.3158 6.8147 0.4989 97
D2 6.3158 6.8147 0.4989 82
A2 7.3684 7.8673 0.4989 95
A1 7.3684 7.8673 0.4989 78
D4 7.8947 8.0603 0.1656 75
D4 8.0702 8.2357 0.1656 74
D4 8.2456 8.4112 0.1656 74
F4 8.4211 8.9200 0.4989 91
D2 8.4211 8.9200 0.4989 82
D3 8.4211 8.9200 0.4989 97
F4 8.9474 9.1129 0.1656 75
F4 9.1228 9.2884 0.1656 74
F4 9.2982 9.4638 0.1656 74
A4 9.4737 9.9726 0.4989 89
A1 9.4737 9.9726 0.4989 78
A2 9.4737 9.9726 0.4989 95
A4 10.0000 10.1656 0.1656 75
A4 10.1754 10.3410 0.1656 74
A4 10.3509 10.5165 0.1656 74
D5 10.5263 11.0252 0.4989 91
D2 10.5263 11.0252 0.4989 82
D3 10.5263 11.0252 0.4989 97
D5 11.0526 11.2182 0.1656 75
D5 11.2281 11.3936 0.1656 74
D5 11.4035 11.5691 0.1656 74
F5 11.5790 12.0779 0.4989 89
A1 11.5790 12.0779 0.4989 78
A2 11.5790 12.0779 0.4989 95
G5 12.1053 12.6042 0.4989 87
A5 12.6316 13.1305 0.4989 91
F2 12.6316 13.1305 0.4989 83
F3 12.6316 13.1305 0.4989 97
C3 13.6842 14.1831 0.4989 95
C2 13.6842 14.1831 0.4989 79
F3 14.7368 15.2358 0.4989 97
F2 14.7368 15.2358 0.4989 83
C3 15.7895 16.2884 0.4989 95
C2 15.7895 16.2884 0.4989 79
F5 16.3158 16.4814 0.1656 75
F5 16.4912 16.6568 0.1656 74
F5 16.6667 16.8322 0.1656 74
D5 16.8421 17.3410 0.4989 91
F2 16.8421 17.3410 0.4989 83
F3 16.8421 17.3410 0.4989 97
D5 17.3684 17.5340 0.1656 75
D5 17.5439 17.7094 0.1656 74
D5 17.7193 17.8849 0.1656 74
C5 17.8947 18.3936 0.4989 89
C2 17.8947 18.3936 0.4989 79
C3 17.8947 18.3936 0.4989 95
C5 18.4211 18.5866 0.1656 75
C5 18.5965 18.7621 0.1656 74
C5 18.7719 18.9375 0.1656 74
A4 18.9474 19.4463 0.4989 91
F2 18.9474 19.4463 0.4989 83
F3 18.9474 19.4463 0.4989 97
A4 19.4737 19.6393 0.1656 75
A4 19.6491 19.8147 0.1656 74
A4 19.8246 19.9901 0.1656 74
G4 20.0000 20.4989 0.4989 89
C2 20.0000 20.4989 0.4989 79
C3 20.0000 20.4989 0.4989 95
E4 20.5263 21.0252 0.4989 87
D4 21.0526 21.5515 0.4989 91
D2 21.0526 21.5515 0.4989 82
D3 21.0526 21.5515 0.4989 97
A2 22.1053 22.6042 0.4989 95
A1 22.1053 22.6042 0.4989 78
D3 23.1579 23.6568 0.4989 97
D2 23.1579 23.6568 0.4989 82
A2 24.2105 24.7094 0.4989 95
A1 24.2105 24.7094 0.4989 78
D3 25.2632 25.7621 0.4989 97
D2 25.2632 25.7621 0.4989 82
A2 26.3158 26.8147 0.4989 95
A1 26.3158 26.8147 0.4989 78
D4 26.8421 27.0077 0.1656 75
D4 27.0176 27.1831 0.1656 74
D4 27.1930 27.3586 0.1656 74
F4 27.3684 27.8673 0.4989 91
D2 27.3684 27.8673 0.4989 82
D3 27.3684 27.8673 0.4989 97
A2 28.4211 28.9200 0.4989 95
A1 28.4211 28.9200 0.4989 78
D3 29.4737 29.9726 0.4989 97
D2 29.4737 29.9726 0.4989 82
A2 30.5263 31.0252 0.4989 95
A1 30.5263 31.0252 0.4989 78
D4 31.0526 31.2182 0.1656 75
D4 31.2281 31.3937 0.1656 74
D4 31.4035 31.5691 0.1656 74
F4 31.5790 32.0779 0.4989 91
D2 31.5790 32.0779 0.4989 82
D3 31.5790 32.0779 0.4989 97
F4 32.1053 32.2708 0.1656 75
F4 32.2807 32.4463 0.1656 74
F4 32.4562 32.6217 0.1656 74
A4 32.6316 33.1305 0.4989 89
A1 32.6316 33.1305 0.4989 78
A2 32.6316 33.1305 0.4989 95
A4 33.1579 33.3235 0.1656 75
A4 33.3333 33.4989 0.1656 74
A4 33.5088 33.6744 0.1656 74
D5 33.6842 34.1831 0.4989 91
D2 33.6842 34.1831 0.4989 82
D3 33.6842 34.1831 0.4989 97
D5 34.2105 34.3761 0.1656 75
D5 34.3860 34.5515 0.1656 74
D5 34.5614 34.7270 0.1656 74
F5 34.7369 35.2358 0.4989 89
A1 34.7369 35.2358 0.4989 78
A2 34.7369 35.2358 0.4989 95
G5 35.2632 35.7621 0.4989 87
A5 35.7895 36.2884 0.4989 91
F2 35.7895 36.2884 0.4989 83
F3 35.7895 36.2884 0.4989 97
C3 36.8421 37.3410 0.4989 95
C2 36.8421 37.3410 0.4989 79
F3 37.8948 38.3937 0.4989 97
F2 37.8948 38.3937 0.4989 83
C3 38.9474 39.4463 0.4989 95
C2 38.9474 39.4463 0.4989 79
F5 39.4737 39.6393 0.1656 75
F5 39.6491 39.8147 0.1656 74
F5 39.8246 39.9901 0.1656 74
D5 40.0000 40.4989 0.4989 91
F2 40.0000 40.4989 0.4989 83
F3 40.0000 40.4989 0.4989 97
D5 40.5263 40.6919 0.1656 75
D5 40.7018 40.8673 0.1656 74
D5 40.8772 41.0428 0.1656 74
C5 41.0526 41.5516 0.4989 89
C2 41.0526 41.5516 0.4989 79
C3 41.0526 41.5516 0.4989 95
C5 41.5790 41.7445 0.1656 75
C5 41.7544 41.9200 0.1656 74
C5 41.9298 42.0954 0.1656 74
A4 42.1053 42.6042 0.4989 91
F2 42.1053 42.6042 0.4989 83
F3 42.1053 42.6042 0.4989 97
A4 42.6316 42.7972 0.1656 75
A4 42.8070 42.9726 0.1656 74
A4 42.9825 43.1480 0.1656 74
G4 43.1579 43.6568 0.4989 89
C2 43.1579 43.6568 0.4989 79
C3 43.1579 43.6568 0.4989 95
E4 43.6842 44.1831 0.4989 87
D4 44.2105 44.7094 0.4989 91
D2 44.2105 44.7094 0.4989 82
D3 44.2105 44.7094 0.4989 97
F4 44.7369 45.2358 0.4989 87
D4 45.2632 46.0121 0.7489 89
A1 45.2632 45.7621 0.4989 78
A2 45.2632 45.7621 0.4989 95
A3 46.0526 46.3016 0.2489 86
D4 46.3158 46.4814 0.1656 91
D2 46.3158 46.8147 0.4989 82
D3 46.3158 46.8147 0.4989 97
A3 46.4912 46.6568 0.1656 86
D4 46.6667 46.8323 0.1656 86
F4 46.8421 47.3410 0.4989 87
D4 47.3684 48.1173 0.7489 89
A1 47.3684 47.8673 0.4989 78
A2 47.3684 47.8673 0.4989 95
A3 48.1579 48.4068 0.2489 86
E4 48.4211 48.5866 0.1656 91
E2 48.4211 48.9200 0.4989 82
E3 48.4211 48.9200 0.4989 97
A3 48.5965 48.7621 0.1656 86
E4 48.7719 48.9375 0.1656 86
G4 48.9474 49.4463 0.4989 87
E4 49.4737 50.2226 0.7489 89
A1 49.4737 49.9726 0.4989 78
A2 49.4737 49.9726 0.4989 95
A3 50.2632 50.5121 0.2489 86
E4 50.5263 50.6919 0.1656 91
E2 50.5263 51.0252 0.4989 82
E3 50.5263 51.0252 0.4989 97
A3 50.7018 50.8673 0.1656 86
E4 50.8772 51.0428 0.1656 86
G4 51.0527 51.5516 0.4989 87
E4 51.5790 52.3279 0.7489 89
A1 51.5790 52.0779 0.4989 78
A2 51.5790 52.0779 0.4989 95
A3 52.3684 52.6173 0.2489 86
F4 52.6316 52.7972 0.1656 91
F2 52.6316 53.1305 0.4989 83
F3 52.6316 53.1305 0.4989 97
A3 52.8070 52.9726 0.1656 86
F4 52.9825 53.1480 0.1656 86
A4 53.1579 53.6568 0.4989 87
F4 53.6842 54.4331 0.7489 89
A1 53.6842 54.1831 0.4989 78
A2 53.6842 54.1831 0.4989 95
A3 54.4737 54.7226 0.2489 86
F4 54.7369 54.9024 0.1656 91
F2 54.7369 55.2358 0.4989 83
F3 54.7369 55.2358 0.4989 97
A3 54.9123 55.0779 0.1656 86
F4 55.0877 55.2533 0.1656 86
A4 55.2632 55.7621 0.4989 87
F4 55.7895 56.5384 0.7489 89
A1 55.7895 56.2884 0.4989 78
A2 55.7895 56.2884 0.4989 95
A3 56.5790 56.8279 0.2489 86
A#3 56.8421 57.0077 0.1656 91
A#1 56.8421 57.3410 0.4989 81
A#2 56.8421 57.3410 0.4989 97
F3 57.0176 57.1831 0.1656 86
A#3 57.1930 57.3586 0.1656 86
D4 57.3684 57.8673 0.4989 87
A#3 57.8948 58.6437 0.7489 89
G1 57.8948 58.3937 0.4989 78
G2 57.8948 58.3937 0.4989 95
G3 58.6842 58.9331 0.2489 86
C#4 58.9474 59.1130 0.1656 91
C#2 58.9474 59.4463 0.4989 82
C#3 58.9474 59.4463 0.4989 97
A3 59.1228 59.2884 0.1656 86
C#4 59.2983 59.4638 0.1656 86
E4 59.4737 59.9726 0.4989 87
C#4 60.0000 60.7489 0.7489 89
A1 60.0000 60.4989 0.4989 78
A2 60.0000 60.4989 0.4989 95
C#4 60.7895 61.0384 0.2489 86
D4 61.0527 61.5516 0.4989 91
D2 61.0527 61.5516 0.4989 82
D3 61.0527 61.5516 0.4989 97
F4 61.5790 62.0779 0.4989 87
D4 62.1053 62.8542 0.7489 89
A1 62.1053 62.6042 0.4989 78
A2 62.1053 62.6042 0.4989 95
A3 62.8948 63.1437 0.2489 86
D4 63.1579 63.3235 0.1656 91
D2 63.1579 63.6568 0.4989 82
D3 63.1579 63.6568 0.4989 97
A3 63.3334 63.4989 0.1656 86
D4 63.5088 63.6744 0.1656 86
F4 63.6842 64.1831 0.4989 87
D4 64.2106 64.9595 0.7489 89
A1 64.2106 64.7095 0.4989 78
A2 64.2106 64.7095 0.4989 95
A3 65.0000 65.2489 0.2489 86
E4 65.2632 65.4288 0.1656 91
E2 65.2632 65.7621 0.4989 82
E3 65.2632 65.7621 0.4989 97
A3 65.4386 65.6042 0.1656 86
E4 65.6141 65.7796 0.1656 86
