pitch start end duration velocity
G#3 1.0435 1.3033 0.2598 127
A#5 1.0435 2.0859 1.0424 127
A#6 1.0435 2.0859 1.0424 127
D#4 1.3044 1.5642 0.2598 127
A#4 1.5652 1.8250 0.2598 127
B4 1.8261 2.0859 0.2598 127
D#5 2.0870 2.6077 0.5207 127
G#4 2.6087 2.8685 0.2598 127
A#4 2.8696 3.1294 0.2598 127
B3 3.1305 3.3903 0.2598 127
D#4 3.3914 3.6511 0.2598 127
E4 3.6522 3.9120 0.2598 127
G#4 3.9131 4.1729 0.2598 127
A#4 4.1740 4.4338 0.2598 127
F#4 4.4349 4.6946 0.2598 127
C#4 4.6957 4.9555 0.2598 127
D#4 4.9566 5.2164 0.2598 127
G#3 5.2175 5.4773 0.2598 127
G#2 5.2175 7.3034 2.0859 127
D#3 5.2175 7.3034 2.0859 127
D#4 5.4784 5.7381 0.2598 127
A#4 5.7392 5.9990 0.2598 127
B4 6.0001 6.2599 0.2598 127
D#5 6.2610 6.7816 0.5207 127
G#4 6.7827 7.0425 0.2598 127
A#4 7.0436 7.3034 0.2598 127
B3 7.3045 7.5643 0.2598 127
E2 7.3045 8.3469 1.0424 127
B2 7.3045 8.3469 1.0424 127
D#4 7.5653 7.8251 0.2598 127
E4 7.8262 8.0860 0.2598 127
G#4 8.0871 8.3469 0.2598 127
A#4 8.3480 8.6078 0.2598 127
C#3 8.3480 9.1295 0.7815 127
F#2 8.3480 9.3904 1.0424 127
F#4 8.6088 8.8686 0.2598 127
C#4 8.8697 9.1295 0.2598 127
D#4 9.1306 9.3904 0.2598 127
B2 9.1306 9.2599 0.1294 127
A#2 9.2610 9.3904 0.1294 127
G#3 9.3915 9.6513 0.2598 127
G#4 9.3915 9.6513 0.2598 127
G#2 9.3915 9.5208 0.1294 127
G#2 9.5219 9.6513 0.1294 127
D#4 9.6523 9.9121 0.2598 127
D#5 9.6523 9.9121 0.2598 127
D#3 9.6523 9.7817 0.1294 127
G#2 9.7828 9.9121 0.1294 127
A#4 9.9132 10.1730 0.2598 127
A#5 9.9132 10.1730 0.2598 127
G#2 9.9132 10.0426 0.1294 127
G#2 10.0436 10.1730 0.1294 127
B4 10.1741 10.4339 0.2598 127
B5 10.1741 10.4339 0.2598 127
D#3 10.1741 10.3034 0.1294 127
G#3 10.3045 10.4339 0.1294 127
G#6 10.4350 10.4502 0.0152 85
D#5 10.4350 10.9556 0.5207 127
D#6 10.4350 10.9556 0.5207 127
B3 10.4350 10.5643 0.1294 127
G#6 10.4513 10.4665 0.0152 85
G#6 10.4676 10.4828 0.0152 85
G#6 10.4839 10.4991 0.0152 85
G#6 10.5002 10.5154 0.0152 85
G#6 10.5165 10.5317 0.0152 85
G#6 10.5328 10.5480 0.0152 85
G#6 10.5491 10.5643 0.0152 85
G#6 10.5654 10.5806 0.0152 85
G#3 10.5654 10.6947 0.1294 127
G#6 10.5817 10.5969 0.0152 85
G#6 10.5980 10.6132 0.0152 85
G#6 10.6143 10.6295 0.0152 85
G#6 10.6306 10.6458 0.0152 85
G#6 10.6469 10.6621 0.0152 85
G#6 10.6632 10.6784 0.0152 85
G#6 10.6795 10.6947 0.0152 85
G#6 10.6958 10.7111 0.0152 85
D#3 10.6958 10.8252 0.1294 127
G#6 10.7121 10.7274 0.0152 85
G#6 10.7284 10.7437 0.0152 85
G#6 10.7447 10.7600 0.0152 85
G#6 10.7611 10.7763 0.0152 85
G#6 10.7774 10.7926 0.0152 85
G#6 10.7937 10.8089 0.0152 85
G#6 10.8100 10.8252 0.0152 85
G#6 10.8263 10.8415 0.0152 85
G#2 10.8263 10.9556 0.1294 127
G#6 10.8426 10.8578 0.0152 85
G#6 10.8589 10.8741 0.0152 85
G#6 10.8752 10.8904 0.0152 85
G#6 10.8915 10.9067 0.0152 85
G#6 10.9078 10.9230 0.0152 85
G#6 10.9241 10.9393 0.0152 85
G#6 10.9404 10.9556 0.0152 85
G#4 10.9567 11.2165 0.2598 127
G#5 10.9567 11.2165 0.2598 127
D#2 10.9567 11.0861 0.1294 127
D#2 11.0871 11.2165 0.1294 127
A#4 11.2176 11.4774 0.2598 127
A#5 11.2176 11.4774 0.2598 127
G#2 11.2176 11.3469 0.1294 127
D#3 11.3480 11.4774 0.1294 127
B3 11.4785 11.7382 0.2598 127
B4 11.4785 11.7382 0.2598 127
B1 11.4785 11.6078 0.1294 127
E2 11.6089 11.7382 0.1294 127
D#4 11.7393 11.9991 0.2598 127
D#5 11.7393 11.9991 0.2598 127
G#2 11.7393 11.8687 0.1294 127
B1 11.8698 11.9991 0.1294 127
E4 12.0002 12.2600 0.2598 127
E5 12.0002 12.2600 0.2598 127
B1 12.0002 12.1296 0.1294 127
E2 12.1306 12.2600 0.1294 127
G#4 12.2611 12.5209 0.2598 127
G#5 12.2611 12.5209 0.2598 127
G#2 12.2611 12.3904 0.1294 127
E2 12.3915 12.5209 0.1294 127
F#6 12.5220 12.5372 0.0152 85
A#4 12.5220 12.7817 0.2598 127
A#5 12.5220 12.7817 0.2598 127
C#2 12.5220 12.6513 0.1294 127
F#6 12.5383 12.5535 0.0152 85
F#6 12.5546 12.5698 0.0152 85
F#6 12.5709 12.5861 0.0152 85
F#6 12.5872 12.6024 0.0152 85
F#6 12.6035 12.6187 0.0152 85
F#6 12.6198 12.6350 0.0152 85
F#6 12.6361 12.6513 0.0152 85
F#6 12.6524 12.6676 0.0152 85
F#2 12.6524 12.7817 0.1294 127
F#6 12.6687 12.6839 0.0152 85
F#6 12.6850 12.7002 0.0152 85
F#6 12.7013 12.7165 0.0152 85
F#6 12.7176 12.7328 0.0152 85
F#6 12.7339 12.7491 0.0152 85
F#6 12.7502 12.7654 0.0152 85
F#6 12.7665 12.7817 0.0152 85
F#6 12.7828 12.7980 0.0152 85
F#4 12.7828 13.0426 0.2598 127
F#5 12.7828 13.0426 0.2598 127
A#2 12.7828 12.9122 0.1294 127
F#6 12.7991 12.8143 0.0152 85
F#6 12.8154 12.8307 0.0152 85
F#6 12.8317 12.8470 0.0152 85
F#6 12.8480 12.8633 0.0152 85
F#6 12.8643 12.8796 0.0152 85
F#6 12.8807 12.8959 0.0152 85
F#6 12.8970 12.9122 0.0152 85
F#6 12.9133 12.9285 0.0152 85
F#2 12.9133 13.0426 0.1294 127
F#6 12.9296 12.9448 0.0152 85
F#6 12.9459 12.9611 0.0152 85
F#6 12.9622 12.9774 0.0152 85
F#6 12.9785 12.9937 0.0152 85
F#6 12.9948 13.0100 0.0152 85
F#6 13.0111 13.0263 0.0152 85
F#6 13.0274 13.0426 0.0152 85
C#4 13.0437 13.3035 0.2598 127
C#5 13.0437 13.3035 0.2598 127
A#2 13.0437 13.1731 0.1294 127
B2 13.1741 13.3035 0.1294 127
D#4 13.3046 13.5644 0.2598 127
D#5 13.3046 13.5644 0.2598 127
G#2 13.3046 13.4339 0.1294 127
D#2 13.4350 13.5644 0.1294 127
G#3 13.5654 13.8252 0.2598 127
G#4 13.5654 13.8252 0.2598 127
G#2 13.5654 13.6948 0.1294 127
G#2 13.6959 13.8252 0.1294 127
D#4 13.8263 14.0861 0.2598 127
D#5 13.8263 14.0861 0.2598 127
D#3 13.8263 13.9557 0.1294 127
G#2 13.9568 14.0861 0.1294 127
A#4 14.0872 14.3470 0.2598 127
A#5 14.0872 14.3470 0.2598 127
G#2 14.0872 14.2165 0.1294 127
G#2 14.2176 14.3470 0.1294 127
B4 14.3481 14.6079 0.2598 127
B5 14.3481 14.6079 0.2598 127
D#3 14.3481 14.4774 0.1294 127
G#3 14.4785 14.6079 0.1294 127
G#6 14.6089 14.6242 0.0152 85
D#5 14.6089 15.1296 0.5207 127
D#6 14.6089 15.1296 0.5207 127
B3 14.6089 14.7383 0.1294 127
G#6 14.6252 14.6405 0.0152 85
G#6 14.6416 14.6568 0.0152 85
G#6 14.6579 14.6731 0.0152 85
G#6 14.6742 14.6894 0.0152 85
G#6 14.6905 14.7057 0.0152 85
G#6 14.7068 14.7220 0.0152 85
G#6 14.7231 14.7383 0.0152 85
G#6 14.7394 14.7546 0.0152 85
G#3 14.7394 14.8687 0.1294 127
G#6 14.7557 14.7709 0.0152 85
G#6 14.7720 14.7872 0.0152 85
G#6 14.7883 14.8035 0.0152 85
G#6 14.8046 14.8198 0.0152 85
G#6 14.8209 14.8361 0.0152 85
G#6 14.8372 14.8524 0.0152 85
G#6 14.8535 14.8687 0.0152 85
G#6 14.8698 14.8850 0.0152 85
D#3 14.8698 14.9992 0.1294 127
G#6 14.8861 14.9013 0.0152 85
G#6 14.9024 14.9176 0.0152 85
G#6 14.9187 14.9339 0.0152 85
G#6 14.9350 14.9503 0.0152 85
G#6 14.9513 14.9666 0.0152 85
G#6 14.9676 14.9829 0.0152 85
G#6 14.9840 14.9992 0.0152 85
G#6 15.0003 15.0155 0.0152 85
G#2 15.0003 15.1296 0.1294 127
G#6 15.0166 15.0318 0.0152 85
G#6 15.0329 15.0481 0.0152 85
G#6 15.0492 15.0644 0.0152 85
G#6 15.0655 15.0807 0.0152 85
G#6 15.0818 15.0970 0.0152 85
G#6 15.0981 15.1133 0.0152 85
