pitch start end duration velocity
A4 0.0000 0.0604 0.0604 127
A4 4.0000 4.0604 0.0604 127
A4 6.0000 6.0604 0.0604 127
A4 8.0000 8.0382 0.0382 127
A4 8.6242 8.6614 0.0372 127
A4 9.2326 9.2689 0.0363 127
A4 9.5289 9.5641 0.0352 127
A4 9.8164 9.8505 0.0341 127
A4 10.0955 10.1286 0.0331 127
A4 10.3667 10.4035 0.0368 127
A4 10.5814 10.6348 0.0533 127
A4 10.7936 10.8415 0.0479 127
A4 10.9850 11.0285 0.0435 127
A4 11.1592 11.1990 0.0398 127
A4 11.3192 11.3559 0.0367 127
A4 11.4670 11.5011 0.0341 127
A4 11.6044 11.6362 0.0318 127
A4 11.7328 11.7913 0.0586 127
A4 11.8511 11.9047 0.0536 127
A4 11.9596 12.0087 0.0491 127
A4 12.0591 12.1046 0.0455 127
A5 12.0591 12.1046 0.0455 127
A4 12.1516 12.1938 0.0422 127
A5 12.1516 12.1938 0.0422 127
A4 12.2374 12.2769 0.0395 127
A5 12.2374 12.2769 0.0395 127
A4 12.3179 12.3549 0.0370 127
A5 12.3179 12.3549 0.0370 127
A6 12.3179 12.3549 0.0370 127
A4 12.3934 12.4283 0.0350 127
A5 12.3934 12.4283 0.0350 127
A6 12.3934 12.4283 0.0350 127
A4 12.4647 12.4920 0.0273 126
A5 12.4647 12.4920 0.0273 126
A6 12.4647 12.4920 0.0273 126
A3 12.4647 12.4920 0.0273 126
A4 12.5231 12.5501 0.0270 126
A5 12.5231 12.5501 0.0270 126
A6 12.5231 12.5501 0.0270 126
A3 12.5231 12.5501 0.0270 126
A4 12.5806 12.6071 0.0265 126
A5 12.5806 12.6071 0.0265 126
A6 12.5806 12.6071 0.0265 126
A3 12.5806 12.6071 0.0265 126
A4 12.6371 12.6632 0.0260 126
A5 12.6371 12.6632 0.0260 126
A6 12.6371 12.6632 0.0260 126
A3 12.6371 12.6632 0.0260 126
A4 12.6927 12.7183 0.0255 126
A5 12.6927 12.7183 0.0255 126
A6 12.6927 12.7183 0.0255 126
A3 12.6927 12.7183 0.0255 126
A4 12.7473 12.7726 0.0252 126
A5 12.7473 12.7726 0.0252 126
A6 12.7473 12.7726 0.0252 126
A3 12.7473 12.7726 0.0252 126
A4 12.8011 12.8259 0.0248 126
A5 12.8011 12.8259 0.0248 126
A6 12.8011 12.8259 0.0248 126
A3 12.8011 12.8259 0.0248 126
A2 12.8011 12.8259 0.0248 126
A4 12.8540 12.8784 0.0244 126
A5 12.8540 12.8784 0.0244 126
A6 12.8540 12.8784 0.0244 126
A3 12.8540 12.8784 0.0244 126
A2 12.8540 12.8784 0.0244 126
