pitch start end duration velocity
E4 0.0000 0.0604 0.0604 127
E4 4.0000 4.0604 0.0604 127
E4 6.0000 6.0604 0.0604 127
E4 8.0000 8.0604 0.0604 127
E4 8.9633 9.0186 0.0553 127
E4 9.8530 9.9039 0.0509 127
E4 10.2500 10.2945 0.0445 127
E4 10.5991 10.6386 0.0394 127
E4 10.9106 10.9460 0.0354 127
E4 11.1917 11.2285 0.0368 127
E4 11.4065 11.4598 0.0533 127
E4 11.6186 11.6666 0.0479 127
E4 11.8100 11.8535 0.0435 127
E4 11.9842 12.0241 0.0398 127
E4 12.1442 12.1809 0.0367 127
E4 12.2920 12.3261 0.0341 127
E4 12.4294 12.4612 0.0318 127
E4 12.5578 12.6164 0.0586 127
E4 12.6762 12.7297 0.0536 127
E4 12.7847 12.8337 0.0491 127
E4 12.8842 12.9296 0.0455 127
E5 12.8842 12.9296 0.0455 127
E4 12.9766 13.0188 0.0422 127
E5 12.9766 13.0188 0.0422 127
E4 13.0624 13.1019 0.0395 127
E5 13.0624 13.1019 0.0395 127
E4 13.1429 13.1800 0.0370 127
E5 13.1429 13.1800 0.0370 127
E6 13.1429 13.1800 0.0370 127
E4 13.2184 13.2534 0.0350 127
E5 13.2184 13.2534 0.0350 127
E6 13.2184 13.2534 0.0350 127
E4 13.2897 13.3171 0.0273 126
E5 13.2897 13.3171 0.0273 126
E6 13.2897 13.3171 0.0273 126
E3 13.2897 13.3171 0.0273 126
E4 13.3482 13.3751 0.0270 126
E5 13.3482 13.3751 0.0270 126
E6 13.3482 13.3751 0.0270 126
E3 13.3482 13.3751 0.0270 126
E4 13.4056 13.4322 0.0265 126
E5 13.4056 13.4322 0.0265 126
E6 13.4056 13.4322 0.0265 126
E3 13.4056 13.4322 0.0265 126
E4 13.4621 13.4882 0.0260 126
E5 13.4621 13.4882 0.0260 126
E6 13.4621 13.4882 0.0260 126
E3 13.4621 13.4882 0.0260 126
E4 13.5178 13.5433 0.0255 126
E5 13.5178 13.5433 0.0255 126
E6 13.5178 13.5433 0.0255 126
E3 13.5178 13.5433 0.0255 126
E4 13.5724 13.5976 0.0252 126
E5 13.5724 13.5976 0.0252 126
E6 13.5724 13.5976 0.0252 126
E3 13.5724 13.5976 0.0252 126
E4 13.6261 13.6510 0.0248 126
E5 13.6261 13.6510 0.0248 126
E6 13.6261 13.6510 0.0248 126
E3 13.6261 13.6510 0.0248 126
E2 13.6261 13.6510 0.0248 126
E4 13.6791 13.7035 0.0244 126
E5 13.6791 13.7035 0.0244 126
E6 13.6791 13.7035 0.0244 126
E3 13.6791 13.7035 0.0244 126
E2 13.6791 13.7035 0.0244 126
E4 13.7312 13.7552 0.0240 126
E5 13.7312 13.7552 0.0240 126
E6 13.7312 13.7552 0.0240 126
E3 13.7312 13.7552 0.0240 126
E2 13.7312 13.7552 0.0240 126
E4 13.7825 13.8061 0.0237 126
E5 13.7825 13.8061 0.0237 126
E6 13.7825 13.8061 0.0237 126
E3 13.7825 13.8061 0.0237 126
E2 13.7825 13.8061 0.0237 126
E4 13.8330 13.8563 0.0234 126
E5 13.8330 13.8563 0.0234 126
E6 13.8330 13.8563 0.0234 126
E7 13.8330 13.8563 0.0234 126
E3 13.8330 13.8563 0.0234 126
E2 13.8330 13.8563 0.0234 126
E4 13.8827 13.9057 0.0230 126
E5 13.8827 13.9057 0.0230 126
E6 13.8827 13.9057 0.0230 126
E7 13.8827 13.9057 0.0230 126
E3 13.8827 13.9057 0.0230 126
E2 13.8827 13.9057 0.0230 126
E4 13.9318 13.9544 0.0226 126
E5 13.9318 13.9544 0.0226 126
E6 13.9318 13.9544 0.0226 126
E7 13.9318 13.9544 0.0226 126
E3 13.9318 13.9544 0.0226 126
E2 13.9318 13.9544 0.0226 126
E4 13.9801 14.0024 0.0223 126
E5 13.9801 14.0024 0.0223 126
E6 13.9801 14.0024 0.0223 126
E7 13.9801 14.0024 0.0223 126
E3 13.9801 14.0024 0.0223 126
E2 13.9801 14.0024 0.0223 126
E4 14.0277 14.0497 0.0220 126
E5 14.0277 14.0497 0.0220 126
E6 14.0277 14.0497 0.0220 126
E7 14.0277 14.0497 0.0220 126
E3 14.0277 14.0497 0.0220 126
E2 14.0277 14.0497 0.0220 126
E4 14.0747 14.0963 0.0217 126
