pitch start end duration velocity
D5 1.5983 1.8683 0.2700 80
A4 1.5983 1.8683 0.2700 80
D4 1.5983 1.8683 0.2700 80
A3 1.5983 1.8683 0.2700 80
D3 1.5983 1.8683 0.2700 80
D5 1.8983 2.1683 0.2700 80
A4 1.8983 2.1683 0.2700 80
D4 1.8983 2.1683 0.2700 80
A3 1.8983 2.1683 0.2700 80
D3 1.8983 2.1683 0.2700 80
C5 2.1983 2.3783 0.1800 80
G4 2.1983 2.3783 0.1800 80
D4 2.1983 2.3783 0.1800 80
A3 2.1983 2.3783 0.1800 80
D3 2.1983 2.3783 0.1800 80
D5 2.3983 2.6683 0.2700 80
A4 2.3983 2.6683 0.2700 80
D4 2.3983 2.6683 0.2700 80
A3 2.3983 2.6683 0.2700 80
D3 2.3983 2.6683 0.2700 80
D5 2.6983 2.9683 0.2700 80
A4 2.6983 2.9683 0.2700 80
D4 2.6983 2.9683 0.2700 80
A3 2.6983 2.9683 0.2700 80
D3 2.6983 2.9683 0.2700 80
C5 2.9983 3.1783 0.1800 80
G4 2.9983 3.1783 0.1800 80
D4 2.9983 3.1783 0.1800 80
A3 2.9983 3.1783 0.1800 80
D3 2.9983 3.1783 0.1800 80
D5 3.1983 3.4683 0.2700 80
A4 3.1983 3.4683 0.2700 80
D4 3.1983 3.4683 0.2700 80
A3 3.1983 3.4683 0.2700 80
D3 3.1983 3.4683 0.2700 80
D5 3.4983 3.7683 0.2700 80
A4 3.4983 3.7683 0.2700 80
D4 3.4983 3.7683 0.2700 80
A3 3.4983 3.7683 0.2700 80
D3 3.4983 3.7683 0.2700 80
C5 3.7983 3.9783 0.1800 80
G4 3.7983 3.9783 0.1800 80
D4 3.7983 3.9783 0.1800 80
A3 3.7983 3.9783 0.1800 80
D3 3.7983 3.9783 0.1800 80
D5 3.9983 4.3583 0.3600 80
A4 3.9983 4.3583 0.3600 80
D4 3.9983 4.2683 0.2700 80
A3 3.9983 4.2683 0.2700 80
D3 3.9983 4.2683 0.2700 80
D4 4.2983 4.5683 0.2700 80
A3 4.2983 4.5683 0.2700 80
D3 4.2983 4.5683 0.2700 80
F5 4.3983 4.7583 0.3600 80
C5 4.3983 4.7583 0.3600 80
D4 4.5983 4.7783 0.1800 80
A3 4.5983 4.7783 0.1800 80
D3 4.5983 4.7783 0.1800 80
D5 4.7983 5.0683 0.2700 80
A4 4.7983 5.0683 0.2700 80
D4 4.7983 5.0683 0.2700 80
A3 4.7983 5.0683 0.2700 80
D3 4.7983 5.0683 0.2700 80
D5 5.0983 5.3683 0.2700 80
A4 5.0983 5.3683 0.2700 80
D4 5.0983 5.3683 0.2700 80
A3 5.0983 5.3683 0.2700 80
D3 5.0983 5.3683 0.2700 80
C5 5.3983 5.5783 0.1800 80
G4 5.3983 5.5783 0.1800 80
D4 5.3983 5.5783 0.1800 80
A3 5.3983 5.5783 0.1800 80
D3 5.3983 5.5783 0.1800 80
D5 5.5983 5.8683 0.2700 80
A4 5.5983 5.8683 0.2700 80
D4 5.5983 5.8683 0.2700 80
A3 5.5983 5.8683 0.2700 80
D3 5.5983 5.8683 0.2700 80
D5 5.8983 6.1683 0.2700 80
A4 5.8983 6.1683 0.2700 80
D4 5.8983 6.1683 0.2700 80
A3 5.8983 6.1683 0.2700 80
D3 5.8983 6.1683 0.2700 80
C5 6.1983 6.3783 0.1800 80
G4 6.1983 6.3783 0.1800 80
D4 6.1983 6.3783 0.1800 80
A3 6.1983 6.3783 0.1800 80
D3 6.1983 6.3783 0.1800 80
D5 6.3983 6.7583 0.3600 80
A4 6.3983 6.7583 0.3600 80
D4 6.3983 6.7583 0.3600 80
A3 6.3983 6.7583 0.3600 80
D3 6.3983 6.7583 0.3600 80
A5 6.7983 7.1583 0.3600 80
F5 6.7983 7.1583 0.3600 80
D4 6.7983 7.1583 0.3600 80
A3 6.7983 7.1583 0.3600 80
D3 6.7983 7.1583 0.3600 80
G5 7.1983 7.5583 0.3600 80
E5 7.1983 7.5583 0.3600 80
C4 7.1983 7.5583 0.3600 80
G3 7.1983 7.5583 0.3600 80
C3 7.1983 7.5583 0.3600 80
A5 7.5983 7.9583 0.3600 80
F5 7.5983 7.9583 0.3600 80
C4 7.5983 7.9583 0.3600 80
G3 7.5983 7.9583 0.3600 80
C3 7.5983 7.9583 0.3600 80
G5 7.9983 8.1783 0.1800 80
A#2 7.9983 8.1783 0.1800 80
A5 8.1983 8.3783 0.1800 80
A#3 8.1983 8.3783 0.1800 80
F3 8.1983 8.3783 0.1800 80
D5 8.3983 8.4883 0.0900 80
A#2 8.3983 8.5783 0.1800 80
C5 8.4983 8.5883 0.0900 80
D5 8.5983 8.6883 0.0900 80
A#3 8.5983 8.7783 0.1800 80
F3 8.5983 8.7783 0.1800 80
C5 8.6983 8.7883 0.0900 80
G5 8.7983 8.9783 0.1800 80
C3 8.7983 8.9783 0.1800 80
A5 8.9983 9.1783 0.1800 80
C4 8.9983 9.1783 0.1800 80
G3 8.9983 9.1783 0.1800 80
D5 9.1983 9.2883 0.0900 80
C3 9.1983 9.3783 0.1800 80
C5 9.2983 9.3883 0.0900 80
D5 9.3983 9.4883 0.0900 80
C4 9.3983 9.5783 0.1800 80
G3 9.3983 9.5783 0.1800 80
C5 9.4983 9.5883 0.0900 80
G5 9.5983 9.7783 0.1800 80
D3 9.5983 9.7783 0.1800 80
A5 9.7983 9.9783 0.1800 80
D4 9.7983 9.9783 0.1800 80
A3 9.7983 9.9783 0.1800 80
D5 9.9983 10.0883 0.0900 80
D3 9.9983 10.1783 0.1800 80
C5 10.0983 10.1883 0.0900 80
D5 10.1983 10.2883 0.0900 80
D4 10.1983 10.3783 0.1800 80
A3 10.1983 10.3783 0.1800 80
C5 10.2983 10.3883 0.0900 80
F5 10.3983 10.5783 0.1800 80
D3 10.3983 10.5783 0.1800 80
E5 10.5983 10.6650 0.0667 80
D4 10.5983 10.7783 0.1800 80
A3 10.5983 10.7783 0.1800 80
F5 10.6650 10.7317 0.0667 80
E5 10.7317 10.7983 0.0667 80
D5 10.7983 10.9783 0.1800 80
D3 10.7983 10.9783 0.1800 80
C5 10.9983 11.1783 0.1800 80
D4 10.9983 11.1783 0.1800 80
A3 10.9983 11.1783 0.1800 80
G5 11.1983 11.3783 0.1800 80
A#2 11.1983 11.3783 0.1800 80
A5 11.3983 11.5783 0.1800 80
A#3 11.3983 11.5783 0.1800 80
F3 11.3983 11.5783 0.1800 80
D5 11.5983 11.6883 0.0900 80
A#2 11.5983 11.7783 0.1800 80
C5 11.6983 11.7883 0.0900 80
D5 11.7983 11.8883 0.0900 80
A#3 11.7983 11.9783 0.1800 80
F3 11.7983 11.9783 0.1800 80
C5 11.8983 11.9883 0.0900 80
G5 11.9983 12.1783 0.1800 80
C3 11.9983 12.1783 0.1800 80
A5 12.1983 12.3783 0.1800 80
C4 12.1983 12.3783 0.1800 80
G3 12.1983 12.3783 0.1800 80
D5 12.3983 12.4883 0.0900 80
C3 12.3983 12.5783 0.1800 80
C5 12.4983 12.5883 0.0900 80
D5 12.5983 12.6883 0.0900 80
C4 12.5983 12.7783 0.1800 80
G3 12.5983 12.7783 0.1800 80
C5 12.6983 12.7883 0.0900 80
G5 12.7983 12.9783 0.1800 80
D3 12.7983 12.9783 0.1800 80
A5 12.9983 13.1783 0.1800 80
D4 12.9983 13.1783 0.1800 80
A3 12.9983 13.1783 0.1800 80
C6 13.1983 13.3783 0.1800 80
D3 13.1983 13.3783 0.1800 80
F6 13.3983 13.5783 0.1800 80
D4 13.3983 13.5783 0.1800 80
A3 13.3983 13.5783 0.1800 80
E6 13.5983 13.6883 0.0900 80
D3 13.5983 13.7783 0.1800 80
F6 13.6983 13.7883 0.0900 80
E6 13.7983 13.8883 0.0900 80
