pitch start end duration velocity
B4 1.6000 1.8842 0.2842 80
E5 1.6000 1.8842 0.2842 80
E3 1.6000 1.8842 0.2842 80
B3 1.6000 1.8842 0.2842 80
E4 1.6000 1.8842 0.2842 80
B4 1.9000 2.1842 0.2842 80
E5 1.9000 2.1842 0.2842 80
E3 1.9000 2.1842 0.2842 80
B3 1.9000 2.1842 0.2842 80
E4 1.9000 2.1842 0.2842 80
A4 2.2000 2.3892 0.1892 80
D5 2.2000 2.3892 0.1892 80
E3 2.2000 2.3892 0.1892 80
B3 2.2000 2.3892 0.1892 80
E4 2.2000 2.3892 0.1892 80
B4 2.4000 2.6842 0.2842 80
E5 2.4000 2.6842 0.2842 80
E3 2.4000 2.6842 0.2842 80
B3 2.4000 2.6842 0.2842 80
E4 2.4000 2.6842 0.2842 80
B4 2.7000 2.9842 0.2842 80
E5 2.7000 2.9842 0.2842 80
E3 2.7000 2.9842 0.2842 80
B3 2.7000 2.9842 0.2842 80
E4 2.7000 2.9842 0.2842 80
A4 3.0000 3.1892 0.1892 80
D5 3.0000 3.1892 0.1892 80
E3 3.0000 3.1892 0.1892 80
B3 3.0000 3.1892 0.1892 80
E4 3.0000 3.1892 0.1892 80
B4 3.2000 3.4842 0.2842 80
E5 3.2000 3.4842 0.2842 80
E3 3.2000 3.4842 0.2842 80
B3 3.2000 3.4842 0.2842 80
E4 3.2000 3.4842 0.2842 80
B4 3.5000 3.7842 0.2842 80
E5 3.5000 3.7842 0.2842 80
E3 3.5000 3.7842 0.2842 80
B3 3.5000 3.7842 0.2842 80
E4 3.5000 3.7842 0.2842 80
A4 3.8000 3.9892 0.1892 80
D5 3.8000 3.9892 0.1892 80
E3 3.8000 3.9892 0.1892 80
B3 3.8000 3.9892 0.1892 80
E4 3.8000 3.9892 0.1892 80
B4 4.0000 4.3792 0.3792 80
E5 4.0000 4.3792 0.3792 80
E3 4.0000 4.2842 0.2842 80
B3 4.0000 4.2842 0.2842 80
E4 4.0000 4.2842 0.2842 80
E3 4.3000 4.5842 0.2842 80
B3 4.3000 4.5842 0.2842 80
E4 4.3000 4.5842 0.2842 80
D5 4.4000 4.7792 0.3792 80
G5 4.4000 4.7792 0.3792 80
E3 4.6000 4.7892 0.1892 80
B3 4.6000 4.7892 0.1892 80
E4 4.6000 4.7892 0.1892 80
B4 4.8000 5.0842 0.2842 80
E5 4.8000 5.0842 0.2842 80
E3 4.8000 5.0842 0.2842 80
B3 4.8000 5.0842 0.2842 80
E4 4.8000 5.0842 0.2842 80
B4 5.1000 5.3842 0.2842 80
E5 5.1000 5.3842 0.2842 80
E3 5.1000 5.3842 0.2842 80
B3 5.1000 5.3842 0.2842 80
E4 5.1000 5.3842 0.2842 80
A4 5.4000 5.5892 0.1892 80
D5 5.4000 5.5892 0.1892 80
E3 5.4000 5.5892 0.1892 80
B3 5.4000 5.5892 0.1892 80
E4 5.4000 5.5892 0.1892 80
B4 5.6000 5.8842 0.2842 80
E5 5.6000 5.8842 0.2842 80
E3 5.6000 5.8842 0.2842 80
B3 5.6000 5.8842 0.2842 80
E4 5.6000 5.8842 0.2842 80
B4 5.9000 6.1842 0.2842 80
E5 5.9000 6.1842 0.2842 80
E3 5.9000 6.1842 0.2842 80
B3 5.9000 6.1842 0.2842 80
E4 5.9000 6.1842 0.2842 80
A4 6.2000 6.3892 0.1892 80
D5 6.2000 6.3892 0.1892 80
E3 6.2000 6.3892 0.1892 80
B3 6.2000 6.3892 0.1892 80
E4 6.2000 6.3892 0.1892 80
B4 6.4000 6.7792 0.3792 80
E5 6.4000 6.7792 0.3792 80
E3 6.4000 6.7792 0.3792 80
B3 6.4000 6.7792 0.3792 80
E4 6.4000 6.7792 0.3792 80
G5 6.8000 7.1792 0.3792 80
B5 6.8000 7.1792 0.3792 80
E3 6.8000 7.1792 0.3792 80
B3 6.8000 7.1792 0.3792 80
E4 6.8000 7.1792 0.3792 80
F#5 7.2000 7.5792 0.3792 80
A5 7.2000 7.5792 0.3792 80
D3 7.2000 7.5792 0.3792 80
A3 7.2000 7.5792 0.3792 80
D4 7.2000 7.5792 0.3792 80
G5 7.6000 7.9792 0.3792 80
B5 7.6000 7.9792 0.3792 80
D3 7.6000 7.9792 0.3792 80
A3 7.6000 7.9792 0.3792 80
D4 7.6000 7.9792 0.3792 80
A5 8.0000 8.1892 0.1892 80
C3 8.0000 8.1892 0.1892 80
B5 8.2000 8.3892 0.1892 80
G3 8.2000 8.3892 0.1892 80
C4 8.2000 8.3892 0.1892 80
E5 8.4000 8.4942 0.0942 80
C3 8.4000 8.5892 0.1892 80
D5 8.5000 8.5942 0.0942 80
E5 8.6000 8.6942 0.0942 80
G3 8.6000 8.7892 0.1892 80
C4 8.6000 8.7892 0.1892 80
D5 8.7000 8.7942 0.0942 80
A5 8.8000 8.9892 0.1892 80
D3 8.8000 8.9892 0.1892 80
B5 9.0000 9.1892 0.1892 80
A3 9.0000 9.1892 0.1892 80
D4 9.0000 9.1892 0.1892 80
E5 9.2000 9.2942 0.0942 80
D3 9.2000 9.3892 0.1892 80
D5 9.3000 9.3942 0.0942 80
E5 9.4000 9.4942 0.0942 80
A3 9.4000 9.5892 0.1892 80
D4 9.4000 9.5892 0.1892 80
D5 9.5000 9.5942 0.0942 80
A5 9.6000 9.7892 0.1892 80
E3 9.6000 9.7892 0.1892 80
B5 9.8000 9.9892 0.1892 80
B3 9.8000 9.9892 0.1892 80
E4 9.8000 9.9892 0.1892 80
E5 10.0000 10.0942 0.0942 80
E3 10.0000 10.1892 0.1892 80
D5 10.1000 10.1942 0.0942 80
E5 10.2000 10.2942 0.0942 80
B3 10.2000 10.3892 0.1892 80
E4 10.2000 10.3892 0.1892 80
D5 10.3000 10.3942 0.0942 80
G5 10.4000 10.5892 0.1892 80
E3 10.4000 10.5892 0.1892 80
F#5 10.6000 10.6625 0.0625 80
B3 10.6000 10.7892 0.1892 80
E4 10.6000 10.7892 0.1892 80
G5 10.6667 10.7292 0.0625 80
F#5 10.7333 10.7958 0.0625 80
E5 10.8000 10.9892 0.1892 80
E3 10.8000 10.9892 0.1892 80
D5 11.0000 11.1892 0.1892 80
B3 11.0000 11.1892 0.1892 80
E4 11.0000 11.1892 0.1892 80
A5 11.2000 11.3892 0.1892 80
C3 11.2000 11.3892 0.1892 80
B5 11.4000 11.5892 0.1892 80
G3 11.4000 11.5892 0.1892 80
C4 11.4000 11.5892 0.1892 80
E5 11.6000 11.6942 0.0942 80
C3 11.6000 11.7892 0.1892 80
D5 11.7000 11.7942 0.0942 80
E5 11.8000 11.8942 0.0942 80
G3 11.8000 11.9892 0.1892 80
C4 11.8000 11.9892 0.1892 80
D5 11.9000 11.9942 0.0942 80
A5 12.0000 12.1892 0.1892 80
D3 12.0000 12.1892 0.1892 80
B5 12.2000 12.3892 0.1892 80
A3 12.2000 12.3892 0.1892 80
D4 12.2000 12.3892 0.1892 80
E5 12.4000 12.4942 0.0942 80
D3 12.4000 12.5892 0.1892 80
D5 12.5000 12.5942 0.0942 80
E5 12.6000 12.6942 0.0942 80
A3 12.6000 12.7892 0.1892 80
D4 12.6000 12.7892 0.1892 80
D5 12.7000 12.7942 0.0942 80
A5 12.8000 12.9892 0.1892 80
