pitch start end duration velocity
E5 0.0000 0.0952 0.0952 64
F#4 0.0000 0.0952 0.0952 64
D3 0.0000 0.0952 0.0952 64
F#2 0.0000 0.1905 0.1905 96
E5 0.1429 0.2381 0.0952 64
F#4 0.1429 0.2381 0.0952 64
D3 0.1429 0.2381 0.0952 64
F#2 0.2857 0.3810 0.0952 96
E5 0.4286 0.5238 0.0952 64
F#4 0.4286 0.5238 0.0952 64
D3 0.4286 0.5238 0.0952 64
F#2 0.4286 0.6190 0.1905 96
C5 0.7143 0.8095 0.0952 64
F#4 0.7143 0.8095 0.0952 64
D3 0.7143 0.8095 0.0952 64
F#2 0.7143 0.8095 0.0952 96
E5 0.8571 0.9524 0.0952 64
F#4 0.8571 0.9524 0.0952 64
D3 0.8571 0.9524 0.0952 64
F#2 0.8571 1.0476 0.1905 96
G5 1.1429 1.2381 0.0952 64
B4 1.1429 1.2381 0.0952 64
G4 1.1429 1.2381 0.0952 64
F#2 1.1429 1.3333 0.1905 96
F#2 1.5714 1.7619 0.1905 96
G4 1.7143 1.8095 0.0952 64
G3 1.7143 1.8095 0.0952 64
F#2 1.8571 1.9524 0.0952 96
F#2 2.0000 2.0952 0.0952 96
F#2 2.1429 2.2381 0.0952 96
C5 2.2857 2.3809 0.0952 64
E4 2.2857 2.3809 0.0952 64
G3 2.2857 2.3809 0.0952 64
F#2 2.2857 2.3809 0.0952 96
F#2 2.5714 2.6667 0.0952 96
G4 2.7143 2.8095 0.0952 64
C4 2.7143 2.8095 0.0952 64
E3 2.7143 2.8095 0.0952 64
F#2 2.7619 2.8571 0.0952 96
F#2 2.8571 3.0476 0.1905 96
E4 3.1429 3.2381 0.0952 64
G3 3.1429 3.2381 0.0952 64
C3 3.1429 3.2381 0.0952 64
F#2 3.1429 3.2381 0.0952 96
F#2 3.3333 3.4286 0.0952 96
F#2 3.4286 3.5238 0.0952 96
A4 3.5714 3.6667 0.0952 64
C4 3.5714 3.6667 0.0952 64
F3 3.5714 3.6667 0.0952 64
F#2 3.7143 3.8095 0.0952 96
B4 3.8571 3.9524 0.0952 64
D4 3.8571 3.9524 0.0952 64
G3 3.8571 3.9524 0.0952 64
F#2 3.9048 4.0000 0.0952 96
F#2 4.0000 4.1905 0.1905 96
A#4 4.1429 4.2381 0.0952 64
C#4 4.1429 4.2381 0.0952 64
F#3 4.1429 4.2381 0.0952 64
A4 4.2857 4.3809 0.0952 64
C4 4.2857 4.3809 0.0952 64
F3 4.2857 4.3809 0.0952 64
F#2 4.2857 4.3809 0.0952 96
F#2 4.4762 4.5714 0.0952 96
G4 4.5714 4.6667 0.0952 64
C4 4.5714 4.6667 0.0952 64
E3 4.5714 4.6667 0.0952 64
F#2 4.5714 4.6667 0.0952 96
E5 4.7619 4.8571 0.0952 64
G4 4.7619 4.8571 0.0952 64
C4 4.7619 4.8571 0.0952 64
F#2 4.8571 4.9524 0.0952 96
G5 4.9524 5.0476 0.0952 64
B4 4.9524 5.0476 0.0952 64
E4 4.9524 5.0476 0.0952 64
F#2 5.0476 5.1429 0.0952 96
A5 5.1429 5.2381 0.0952 64
C5 5.1429 5.2381 0.0952 64
F4 5.1429 5.2381 0.0952 64
F#2 5.1429 5.3333 0.1905 96
F5 5.4286 5.5238 0.0952 64
A4 5.4286 5.5238 0.0952 64
D4 5.4286 5.5238 0.0952 64
F#2 5.4286 5.5238 0.0952 96
G5 5.5714 5.6667 0.0952 64
B4 5.5714 5.6667 0.0952 64
E4 5.5714 5.6667 0.0952 64
F#2 5.6190 5.7143 0.0952 96
F#2 5.7143 5.8095 0.0952 96
E5 5.8571 5.9524 0.0952 64
A4 5.8571 5.9524 0.0952 64
C4 5.8571 5.9524 0.0952 64
F#2 6.0000 6.0952 0.0952 96
C5 6.1429 6.2381 0.0952 64
E4 6.1429 6.2381 0.0952 64
A3 6.1429 6.2381 0.0952 64
F#2 6.1905 6.2857 0.0952 96
D5 6.2857 6.3809 0.0952 64
F4 6.2857 6.3809 0.0952 64
B3 6.2857 6.3809 0.0952 64
F#2 6.2857 6.4762 0.1905 96
B4 6.4286 6.5238 0.0952 64
D4 6.4286 6.5238 0.0952 64
G3 6.4286 6.5238 0.0952 64
F#2 6.5714 6.6667 0.0952 96
F#2 6.7619 6.8571 0.0952 96
C5 6.8571 6.9524 0.0952 64
E4 6.8571 6.9524 0.0952 64
G3 6.8571 6.9524 0.0952 64
F#2 6.8571 6.9524 0.0952 96
F#2 7.1429 7.2381 0.0952 96
G4 7.2857 7.3809 0.0952 64
C4 7.2857 7.3809 0.0952 64
E3 7.2857 7.3809 0.0952 64
F#2 7.3333 7.4286 0.0952 96
F#2 7.4286 7.6190 0.1905 96
E4 7.7143 7.8095 0.0952 64
G3 7.7143 7.8095 0.0952 64
C3 7.7143 7.8095 0.0952 64
F#2 7.7143 7.8095 0.0952 96
F#2 7.9048 8.0000 0.0952 96
F#2 8.0000 8.0952 0.0952 96
A4 8.1428 8.2381 0.0952 64
C4 8.1428 8.2381 0.0952 64
F3 8.1428 8.2381 0.0952 64
F#2 8.2857 8.3809 0.0952 96
B4 8.4286 8.5238 0.0952 64
D4 8.4286 8.5238 0.0952 64
G3 8.4286 8.5238 0.0952 64
F#2 8.4762 8.5714 0.0952 96
F#2 8.5714 8.7619 0.1905 96
A#4 8.7143 8.8095 0.0952 64
C#4 8.7143 8.8095 0.0952 64
F#3 8.7143 8.8095 0.0952 64
A4 8.8571 8.9524 0.0952 64
C4 8.8571 8.9524 0.0952 64
F3 8.8571 8.9524 0.0952 64
F#2 8.8571 8.9524 0.0952 96
F#2 9.0476 9.1428 0.0952 96
G4 9.1428 9.2381 0.0952 64
C4 9.1428 9.2381 0.0952 64
E3 9.1428 9.2381 0.0952 64
F#2 9.1428 9.2381 0.0952 96
E5 9.3333 9.4286 0.0952 64
G4 9.3333 9.4286 0.0952 64
C4 9.3333 9.4286 0.0952 64
F#2 9.4286 9.5238 0.0952 96
G5 9.5238 9.6190 0.0952 64
B4 9.5238 9.6190 0.0952 64
E4 9.5238 9.6190 0.0952 64
F#2 9.6190 9.7143 0.0952 96
A5 9.7143 9.8095 0.0952 64
C5 9.7143 9.8095 0.0952 64
F4 9.7143 9.8095 0.0952 64
F#2 9.7143 9.9048 0.1905 96
F5 10.0000 10.0952 0.0952 64
A4 10.0000 10.0952 0.0952 64
D4 10.0000 10.0952 0.0952 64
F#2 10.0000 10.0952 0.0952 96
G5 10.1428 10.2381 0.0952 64
B4 10.1428 10.2381 0.0952 64
E4 10.1428 10.2381 0.0952 64
F#2 10.1905 10.2857 0.0952 96
F#2 10.2857 10.3809 0.0952 96
E5 10.4286 10.5238 0.0952 64
A4 10.4286 10.5238 0.0952 64
C4 10.4286 10.5238 0.0952 64
F#2 10.5714 10.6667 0.0952 96
C5 10.7143 10.8095 0.0952 64
E4 10.7143 10.8095 0.0952 64
A3 10.7143 10.8095 0.0952 64
F#2 10.7619 10.8571 0.0952 96
D5 10.8571 10.9524 0.0952 64
F4 10.8571 10.9524 0.0952 64
B3 10.8571 10.9524 0.0952 64
F#2 10.8571 11.0476 0.1905 96
B4 11.0000 11.0952 0.0952 64
D4 11.0000 11.0952 0.0952 64
G3 11.0000 11.0952 0.0952 64
F#2 11.1428 11.2381 0.0952 96
F#2 11.3333 11.4286 0.0952 96
C3 11.4286 11.5238 0.0952 64
F#2 11.4286 11.5238 0.0952 96
G5 11.7143 11.8095 0.0952 64
E5 11.7143 11.8095 0.0952 64
F#2 11.7143 11.8095 0.0952 96
F#5 11.8571 11.9524 0.0952 64
D#5 11.8571 11.9524 0.0952 64
G3 11.8571 11.9524 0.0952 64
F#2 11.9047 12.0000 0.0952 96
F5 12.0000 12.0952 0.0952 64
D5 12.0000 12.0952 0.0952 64
F#2 12.0000 12.1905 0.1905 96
D#5 12.1428 12.2381 0.0952 64
B4 12.1428 12.2381 0.0952 64
