pitch start end duration velocity
C#6 0.0000 0.0652 0.0652 50
C#6 2.0870 2.1522 0.0652 50
C#6 2.6087 2.6739 0.0652 50
C#6 3.3913 3.4565 0.0652 50
G3 3.5217 3.6522 0.1304 50
C3 3.5217 3.6522 0.1304 50
C4 3.5217 3.6522 0.1304 50
G2 3.5217 3.6522 0.1304 50
B3 5.2174 5.3478 0.1304 50
B3 5.3478 5.4783 0.1304 50
B3 5.4783 5.6087 0.1304 50
B3 5.6087 5.7391 0.1304 50
B3 5.7391 5.8696 0.1304 50
B3 5.8696 6.0000 0.1304 50
B3 6.0000 6.1304 0.1304 50
B3 6.1304 6.2609 0.1304 50
B3 6.2609 6.3913 0.1304 50
B3 6.3913 6.5217 0.1304 50
B3 6.5217 6.6522 0.1304 50
B3 6.6522 6.7826 0.1304 50
B3 6.7826 6.9130 0.1304 50
B3 6.9130 7.0435 0.1304 50
B3 7.0435 7.1739 0.1304 50
B3 7.1739 7.3043 0.1304 50
B3 7.3043 7.4348 0.1304 50
B3 7.5652 7.6957 0.1304 50
C#6 7.8261 7.8913 0.0652 50
B3 8.0870 8.2174 0.1304 50
B3 8.6087 8.7391 0.1304 50
B3 8.8696 9.0000 0.1304 50
C#6 8.8696 8.9348 0.0652 50
B3 9.1304 9.2609 0.1304 50
B3 9.2609 9.3913 0.1304 50
B3 9.3913 9.5217 0.1304 50
B3 9.6522 9.7826 0.1304 50
C#6 9.9130 9.9783 0.0652 50
B3 10.1739 10.3043 0.1304 50
B3 10.6956 10.8261 0.1304 50
F#3 10.8261 10.9565 0.1304 50
A3 10.9565 11.0870 0.1304 50
C#6 10.9565 11.0217 0.0652 50
B3 11.2174 11.3478 0.1304 50
F#2 11.4783 11.6087 0.1304 50
F#3 11.4783 11.6087 0.1304 50
B2 11.4783 11.6087 0.1304 50
B3 11.4783 11.6087 0.1304 50
D#1 11.4783 11.5435 0.0652 50
F#3 11.7391 11.8696 0.1304 50
B3 11.7391 11.8696 0.1304 50
B4 11.7391 11.8696 0.1304 50
F#4 11.7391 11.8696 0.1304 50
F#2 12.0000 12.1304 0.1304 50
B2 12.0000 12.1304 0.1304 50
B3 12.0000 12.1304 0.1304 50
F#3 12.0000 12.1304 0.1304 50
C#6 12.0000 12.0652 0.0652 50
F#3 12.2609 12.3913 0.1304 50
B3 12.2609 12.3913 0.1304 50
B4 12.2609 12.3913 0.1304 50
F#4 12.2609 12.3913 0.1304 50
D#1 12.2609 12.3261 0.0652 50
F#3 12.5217 12.6522 0.1304 50
B3 12.5217 12.6522 0.1304 50
F#2 12.5217 12.6522 0.1304 50
B2 12.5217 12.6522 0.1304 50
F#3 12.7826 12.9130 0.1304 50
B3 12.7826 12.9130 0.1304 50
B4 12.7826 12.9130 0.1304 50
F#4 12.7826 12.9130 0.1304 50
D#1 12.7826 12.8478 0.0652 50
F#2 13.0435 13.1739 0.1304 50
F#3 13.0435 13.1739 0.1304 50
B2 13.0435 13.1739 0.1304 50
B3 13.0435 13.1739 0.1304 50
C#6 13.0435 13.1087 0.0652 50
F#4 13.3043 13.4348 0.1304 50
B4 13.3043 13.4348 0.1304 50
B3 13.3043 13.4348 0.1304 50
F#3 13.3043 13.4348 0.1304 50
D#1 13.3043 13.3696 0.0652 50
B3 13.5652 13.6956 0.1304 50
F#3 13.5652 13.6956 0.1304 50
F#2 13.5652 13.6956 0.1304 50
B2 13.5652 13.6956 0.1304 50
D#1 13.5652 13.6304 0.0652 50
F#3 13.8261 13.9565 0.1304 50
B4 13.8261 13.9565 0.1304 50
F#4 13.8261 13.9565 0.1304 50
B3 13.8261 13.9565 0.1304 50
F#3 14.0870 14.2174 0.1304 50
B3 14.0870 14.2174 0.1304 50
B2 14.0870 14.2174 0.1304 50
F#2 14.0870 14.2174 0.1304 50
C#6 14.0870 14.1522 0.0652 50
B3 14.3478 14.4783 0.1304 50
F#3 14.3478 14.4783 0.1304 50
B4 14.3478 14.4783 0.1304 50
F#4 14.3478 14.4783 0.1304 50
D#1 14.3478 14.4130 0.0652 50
B3 14.6087 14.7391 0.1304 50
F#2 14.6087 14.7391 0.1304 50
F#3 14.6087 14.7391 0.1304 50
B2 14.6087 14.7391 0.1304 50
F#3 14.8696 15.0000 0.1304 50
B3 14.8696 15.0000 0.1304 50
B4 14.8696 15.0000 0.1304 50
F#4 14.8696 15.0000 0.1304 50
D#1 14.8696 14.9348 0.0652 50
F#3 15.1304 15.2609 0.1304 50
B3 15.1304 15.2609 0.1304 50
B2 15.1304 15.2609 0.1304 50
F#2 15.1304 15.2609 0.1304 50
C#6 15.1304 15.1956 0.0652 50
B4 15.3913 15.5217 0.1304 50
F#3 15.3913 15.5217 0.1304 50
F#4 15.3913 15.5217 0.1304 50
B3 15.3913 15.5217 0.1304 50
D#1 15.3913 15.4565 0.0652 50
D3 15.6522 15.7826 0.1304 50
G3 15.6522 15.7826 0.1304 50
G2 15.6522 15.7826 0.1304 50
D2 15.6522 15.7826 0.1304 50
D#1 15.6522 15.7174 0.0652 50
D3 15.9130 16.0435 0.1304 50
G4 15.9130 16.0435 0.1304 50
D4 15.9130 16.0435 0.1304 50
G3 15.9130 16.0435 0.1304 50
D3 16.1739 16.3043 0.1304 50
G3 16.1739 16.3043 0.1304 50
G2 16.1739 16.3043 0.1304 50
D2 16.1739 16.3043 0.1304 50
C#6 16.1739 16.2391 0.0652 50
G3 16.4348 16.5652 0.1304 50
D3 16.4348 16.5652 0.1304 50
G4 16.4348 16.5652 0.1304 50
D4 16.4348 16.5652 0.1304 50
D#1 16.4348 16.5000 0.0652 50
G3 16.6956 16.8261 0.1304 50
D2 16.6956 16.8261 0.1304 50
D3 16.6956 16.8261 0.1304 50
G2 16.6956 16.8261 0.1304 50
D3 16.9565 17.0870 0.1304 50
G3 16.9565 17.0870 0.1304 50
G4 16.9565 17.0870 0.1304 50
D4 16.9565 17.0870 0.1304 50
D#1 16.9565 17.0217 0.0652 50
D3 17.2174 17.3478 0.1304 50
G3 17.2174 17.3478 0.1304 50
G2 17.2174 17.3478 0.1304 50
D2 17.2174 17.3478 0.1304 50
C#6 17.2174 17.2826 0.0652 50
G3 17.4783 17.6087 0.1304 50
D4 17.4783 17.6087 0.1304 50
D3 17.4783 17.6087 0.1304 50
G4 17.4783 17.6087 0.1304 50
D#1 17.4783 17.5435 0.0652 50
D2 17.7391 17.8696 0.1304 50
G3 17.7391 17.8696 0.1304 50
G2 17.7391 17.8696 0.1304 50
D3 17.7391 17.8696 0.1304 50
D#1 17.7391 17.8043 0.0652 50
D4 18.0000 18.1304 0.1304 50
D3 18.0000 18.1304 0.1304 50
G4 18.0000 18.1304 0.1304 50
G3 18.0000 18.1304 0.1304 50
D3 18.2609 18.3913 0.1304 50
G3 18.2609 18.3913 0.1304 50
G2 18.2609 18.3913 0.1304 50
D2 18.2609 18.3913 0.1304 50
C#6 18.2609 18.3261 0.0652 50
G3 18.5217 18.6522 0.1304 50
G4 18.5217 18.6522 0.1304 50
D4 18.5217 18.6522 0.1304 50
D3 18.5217 18.6522 0.1304 50
D#1 18.5217 18.5870 0.0652 50
G2 18.7826 18.9130 0.1304 50
D3 18.7826 18.9130 0.1304 50
G3 18.7826 18.9130 0.1304 50
D2 18.7826 18.9130 0.1304 50
D3 19.0435 19.1739 0.1304 50
G3 19.0435 19.1739 0.1304 50
G4 19.0435 19.1739 0.1304 50
D4 19.0435 19.1739 0.1304 50
D#1 19.0435 19.1087 0.0652 50
E3 19.3043 19.4348 0.1304 50
A3 19.3043 19.4348 0.1304 50
A2 19.3043 19.4348 0.1304 50
E2 19.3043 19.4348 0.1304 50
C#6 19.3043 19.3696 0.0652 50
A3 19.5652 19.6956 0.1304 50
E3 19.5652 19.6956 0.1304 50
E4 19.5652 19.6956 0.1304 50
A4 19.5652 19.6956 0.1304 50
D#1 19.5652 19.6304 0.0652 50
B3 19.8261 20.0870 0.2609 50
F#2 19.8261 19.9565 0.1304 50
F#3 19.8261 19.9565 0.1304 50
B2 19.8261 19.9565 0.1304 50
B3 19.8261 19.9565 0.1304 50
D#1 19.8261 19.8913 0.0652 50
D4 20.0870 20.3478 0.2609 50
F#4 20.0870 20.2174 0.1304 50
B4 20.0870 20.2174 0.1304 50
B3 20.0870 20.2174 0.1304 50
F#3 20.0870 20.2174 0.1304 50
C#4 20.3478 20.6087 0.2609 50
F#3 20.3478 20.4783 0.1304 50
B3 20.3478 20.4783 0.1304 50
B2 20.3478 20.4783 0.1304 50
F#2 20.3478 20.4783 0.1304 50
C#6 20.3478 20.4130 0.0652 50
D4 20.6087 20.8696 0.2609 50
