pitch start end duration velocity
D#4 0.0000 0.0217 0.0217 74
E5 0.0000 0.4239 0.4239 74
B6 0.0000 0.4239 0.4239 54
C#5 0.0109 0.0326 0.0217 30
C#4 0.0217 0.0326 0.0109 65
B3 0.0435 0.2065 0.1630 49
G#4 0.0435 0.2065 0.1630 14
F7 0.0435 0.2065 0.1630 12
D#7 0.0870 0.2065 0.1196 12
C7 0.0978 0.1413 0.0435 22
D5 0.2065 0.2391 0.0326 18
E7 0.2065 0.2391 0.0326 22
C#4 0.2174 0.2500 0.0326 52
F3 0.2283 0.2391 0.0109 70
B4 0.2283 0.4130 0.1848 39
E3 0.2391 0.4565 0.2174 74
F#6 0.4022 0.6522 0.2500 56
C7 0.4130 0.5652 0.1522 24
D#7 0.4130 0.6413 0.2283 40
D#6 0.4239 0.6087 0.1848 36
B4 0.4239 0.6304 0.2065 81
A#3 0.4348 0.4565 0.0217 37
G#4 0.4348 0.6087 0.1739 57
F7 0.4348 0.6413 0.2065 14
B3 0.4565 0.6304 0.1739 54
F2 0.5652 0.5978 0.0326 9
E7 0.6087 0.8370 0.2283 47
C#7 0.6196 0.7717 0.1522 27
E6 0.6196 0.8043 0.1848 36
G6 0.6196 0.8478 0.2283 59
C4 0.6304 0.6522 0.0217 56
C5 0.6304 0.8370 0.2065 80
F3 0.6413 0.6522 0.0109 71
D#4 0.6413 0.6630 0.0217 31
A4 0.6413 0.7935 0.1522 51
E3 0.6522 0.8478 0.1957 73
A6 0.8152 1.1739 0.3587 59
F#6 0.8261 1.0217 0.1957 40
D#7 0.8261 1.0543 0.2283 23
F#7 0.8261 1.2283 0.4022 48
D5 0.8261 1.2391 0.4130 82
B4 0.8370 1.0217 0.1848 66
F7 0.8478 1.0217 0.1739 11
G#4 0.8587 1.0326 0.1739 17
B3 0.8587 1.0435 0.1848 58
E5 1.0217 1.1304 0.1087 56
B6 1.0217 1.1304 0.1087 39
F3 1.0435 1.0543 0.0109 65
C4 1.0435 1.0761 0.0326 53
B4 1.0543 1.1413 0.0870 39
E3 1.0543 1.2717 0.2174 75
B4 1.1522 1.2391 0.0870 40
A6 1.2065 1.2500 0.0435 27
E6 1.2283 1.4130 0.1848 38
G6 1.2283 1.4565 0.2283 58
E7 1.2283 1.4565 0.2283 48
C#7 1.2391 1.3696 0.1304 25
C5 1.2391 1.4457 0.2065 82
D#7 1.2391 1.6522 0.4130 40
A4 1.2500 1.4130 0.1630 56
F7 1.2500 1.4674 0.2174 17
B3 1.2717 1.4457 0.1739 49
F#7 1.4348 1.5761 0.1413 24
D#6 1.4348 1.6196 0.1848 39
D5 1.4457 1.4783 0.0326 26
C7 1.4457 1.5761 0.1304 24
B4 1.4457 1.6522 0.2065 80
F#6 1.4457 1.6522 0.2065 58
F3 1.4565 1.4674 0.0109 68
D#4 1.4565 1.4783 0.0217 37
G#4 1.4565 1.6304 0.1739 51
E3 1.4674 1.6848 0.2174 73
G#6 1.6413 1.7935 0.1522 30
G7 1.6413 2.4022 0.7609 42
C#7 1.6413 2.4130 0.7717 42
E6 1.6413 2.4457 0.8043 54
D7 1.6522 1.7391 0.0870 17
F#7 1.6522 1.7500 0.0978 17
A4 1.6522 2.2609 0.6087 72
C#5 1.6739 1.8696 0.1957 24
A2 1.6848 1.8587 0.1739 31
A3 1.8478 2.0652 0.2174 73
E5 1.8587 2.0652 0.2065 26
G3 2.0652 2.1087 0.0435 50
C#5 2.0652 2.2609 0.1957 40
A2 2.0870 2.2717 0.1848 34
E4 2.0870 2.2717 0.1848 36
G3 2.2500 2.2717 0.0217 55
G6 2.2500 2.6413 0.3913 60
